viewpoint,avg_occlusion
theta036_phi350,10.173160
theta054_phi000,9.129063
theta054_phi010,6.239340
theta054_phi020,6.018647
theta054_phi030,7.340436
theta054_phi040,7.531056
theta054_phi050,6.883790
theta054_phi060,4.742685
theta054_phi070,3.238935
theta054_phi080,2.369095
theta054_phi090,3.931941
theta054_phi100,5.772734
theta054_phi110,7.749834
theta054_phi120,10.175410
theta054_phi130,13.237902
theta054_phi140,16.663508
theta054_phi150,18.322503
theta054_phi160,19.358269
theta054_phi170,20.756463
theta054_phi180,21.869040
theta054_phi190,22.595263
theta054_phi200,20.788963
theta054_phi210,18.562071
theta054_phi220,17.680795
theta054_phi230,18.758541
theta054_phi240,20.567728
theta054_phi250,24.651617
theta054_phi260,28.993048
theta054_phi270,32.914501
theta054_phi280,33.802521
theta054_phi290,33.745061
theta054_phi300,32.815164
theta054_phi310,29.825863
theta054_phi320,25.826229
theta054_phi330,22.272942
theta054_phi340,18.598209
theta054_phi350,13.873025
theta072_phi000,17.103009
theta072_phi010,16.964941
theta072_phi020,20.353480
theta072_phi030,22.874211
theta072_phi040,21.187584
theta072_phi050,18.968679
theta072_phi060,18.508984
theta072_phi070,15.596508
theta072_phi080,12.495700
theta072_phi090,11.299711
theta072_phi100,12.229892
theta072_phi110,14.027660
theta072_phi120,17.109969
theta072_phi130,21.781563
theta072_phi140,26.599045
theta072_phi150,28.757805
theta072_phi160,29.040352
theta072_phi170,30.559328
theta072_phi180,33.237281
theta072_phi190,34.173423
theta072_phi200,32.942308
theta072_phi210,32.465075
theta072_phi220,34.364421
theta072_phi230,35.494242
theta072_phi240,31.897225
theta072_phi250,32.346465
theta072_phi260,38.408740
theta072_phi270,42.403037
theta072_phi280,45.155101
theta072_phi290,47.442982
theta072_phi300,49.011661
theta072_phi310,47.202310
theta072_phi320,41.204020
theta072_phi330,35.883998
theta072_phi340,30.144291
theta072_phi350,22.552401
theta090_phi000,40.474035
theta090_phi010,38.940168
theta090_phi020,37.125373
theta090_phi030,35.320356
theta090_phi040,35.945905
theta090_phi050,33.038296
theta090_phi060,29.086527
theta090_phi070,27.435841
theta090_phi080,22.829794
theta090_phi090,20.886835
theta090_phi100,21.884465
theta090_phi110,25.548653
theta090_phi120,36.314186
theta090_phi130,43.188451
theta090_phi140,50.815075
theta090_phi150,56.286275
theta090_phi160,59.648932
theta090_phi170,53.802335
theta090_phi180,47.539772
theta090_phi190,36.721276
theta090_phi200,30.369118
theta090_phi210,32.719345
theta090_phi220,36.312972
theta090_phi230,33.364111
theta090_phi240,32.036566
theta090_phi250,37.835296
theta090_phi260,40.519093
theta090_phi270,44.969147
theta090_phi280,48.996535
theta090_phi290,51.750323
theta090_phi300,56.478614
theta090_phi310,58.231688
theta090_phi320,60.016994
theta090_phi330,57.481619
theta090_phi340,52.308661
theta090_phi350,44.957777
full_scene,18.269563
