viewpoint,avg_occlusion
theta000_phi000,5.367414
theta000_phi010,5.578467
theta000_phi020,5.521886
theta000_phi030,5.435350
theta000_phi040,5.454920
theta000_phi050,5.271168
theta000_phi060,5.418540
theta000_phi070,5.371751
theta000_phi080,5.210944
theta000_phi090,5.516506
theta000_phi100,5.303819
theta000_phi110,5.491362
theta000_phi120,5.583819
theta000_phi130,5.469769
theta000_phi140,5.299928
theta000_phi150,5.320281
theta000_phi160,5.339874
theta000_phi170,5.461885
theta000_phi180,5.403091
theta000_phi190,5.291310
theta000_phi200,5.424725
theta000_phi210,5.275102
theta000_phi220,5.521502
theta000_phi230,5.481981
theta000_phi240,5.497645
theta000_phi250,5.159800
theta000_phi260,5.362118
theta000_phi270,5.349616
theta000_phi280,5.465328
theta000_phi290,5.296494
theta000_phi300,5.179037
theta000_phi310,5.280639
theta000_phi320,5.313824
theta000_phi330,5.160734
theta000_phi340,5.316958
theta000_phi350,5.527117
theta018_phi000,6.261279
theta018_phi010,5.183831
theta018_phi020,4.746178
theta018_phi030,4.053553
theta018_phi040,3.567981
theta018_phi050,3.200790
theta018_phi060,3.072521
theta018_phi070,2.992081
theta018_phi080,2.873685
theta018_phi090,3.432226
theta018_phi100,3.970916
theta018_phi110,4.248696
theta018_phi120,4.744326
theta018_phi130,5.070327
theta018_phi140,5.629312
theta018_phi150,6.189847
theta018_phi160,6.501091
theta018_phi170,7.039654
theta018_phi180,7.246632
theta018_phi190,7.265050
theta018_phi200,7.466601
theta018_phi210,8.042514
theta018_phi220,8.419894
theta018_phi230,8.876180
theta018_phi240,9.640982
theta018_phi250,10.319455
theta018_phi260,11.061219
theta018_phi270,11.834226
theta018_phi280,12.084275
theta018_phi290,12.389725
theta018_phi300,12.021157
theta018_phi310,11.227930
theta018_phi320,10.272602
theta018_phi330,9.457464
theta018_phi340,8.544830
theta018_phi350,7.180513
theta036_phi000,7.624806
theta036_phi010,5.899360
theta036_phi020,4.177898
theta036_phi030,2.775897
theta036_phi040,1.668892
theta036_phi050,1.161996
theta036_phi060,0.956938
theta036_phi070,1.110380
theta036_phi080,1.722355
theta036_phi090,2.777124
theta036_phi100,3.937769
theta036_phi110,4.918927
theta036_phi120,6.024370
theta036_phi130,7.779641
theta036_phi140,9.715059
theta036_phi150,11.362251
theta036_phi160,12.620952
theta036_phi170,13.713829
theta036_phi180,13.915747
theta036_phi190,13.179427
theta036_phi200,12.562977
theta036_phi210,11.992171
theta036_phi220,12.157521
theta036_phi230,12.685695
theta036_phi240,14.786386
theta036_phi250,16.447779
theta036_phi260,19.156551
theta036_phi270,21.600381
theta036_phi280,23.045443
theta036_phi290,23.314574
theta036_phi300,22.508699
theta036_phi310,20.700274
theta036_phi320,18.661919
theta036_phi330,15.947289
theta036_phi340,13.016874
