viewpoint,avg_occlusion
theta000_phi000,2.915033
theta000_phi010,2.900262
theta000_phi020,2.892670
theta000_phi030,2.860892
theta000_phi040,2.866492
theta000_phi050,2.842174
theta000_phi060,2.832787
theta000_phi070,2.885117
theta000_phi080,2.870249
theta000_phi090,2.827225
theta000_phi100,2.810243
theta000_phi110,2.885246
theta000_phi120,2.823375
theta000_phi130,2.801047
theta000_phi140,2.862745
theta000_phi150,2.898172
theta000_phi160,2.881467
theta000_phi170,2.879581
theta000_phi180,2.890778
theta000_phi190,2.842174
theta000_phi200,2.892670
theta000_phi210,2.836601
theta000_phi220,2.877698
theta000_phi230,2.931937
theta000_phi240,2.907662
theta000_phi250,2.896461
theta000_phi260,2.857143
theta000_phi270,2.916939
theta000_phi280,2.883235
theta000_phi290,2.845902
theta000_phi300,2.862771
theta000_phi310,2.870189
theta000_phi320,2.829077
theta000_phi330,2.838371
theta000_phi340,2.887139
theta000_phi350,2.888889
theta018_phi000,1.708945
theta018_phi010,1.629630
theta018_phi020,1.433401
theta018_phi030,1.441196
theta018_phi040,1.452055
theta018_phi050,1.399177
theta018_phi060,1.477901
theta018_phi070,1.546961
theta018_phi080,1.683920
theta018_phi090,1.808144
theta018_phi100,2.009569
theta018_phi110,2.235855
theta018_phi120,2.426721
theta018_phi130,2.625169
theta018_phi140,2.859060
theta018_phi150,3.211193
theta018_phi160,3.379722
theta018_phi170,3.724590
theta018_phi180,3.989536
theta018_phi190,4.300518
theta018_phi200,4.516129
theta018_phi210,4.720975
theta018_phi220,4.836852
theta018_phi230,4.901587
theta018_phi240,4.886364
theta018_phi250,4.740834
theta018_phi260,4.420519
theta018_phi270,4.195184
theta018_phi280,3.926302
theta018_phi290,3.610935
theta018_phi300,3.180077
theta018_phi310,2.998713
theta018_phi320,2.618276
theta018_phi330,2.385321
theta018_phi340,2.162516
theta018_phi350,1.887043
theta036_phi000,0.638298
theta036_phi010,0.435798
theta036_phi020,0.336676
theta036_phi030,0.439956
theta036_phi040,0.689896
theta036_phi050,0.936520
theta036_phi060,1.187354
theta036_phi070,1.276862
theta036_phi080,1.293819
theta036_phi090,1.452127
theta036_phi100,1.851556
theta036_phi110,2.225730
theta036_phi120,2.533023
theta036_phi130,2.868157
theta036_phi140,3.257919
theta036_phi150,3.624260
theta036_phi160,4.023324
theta036_phi170,4.671429
theta036_phi180,5.355884
theta036_phi190,6.092350
theta036_phi200,6.751014
theta036_phi210,7.301360
theta036_phi220,7.715637
theta036_phi230,7.759755
theta036_phi240,7.619192
theta036_phi250,7.305510
theta036_phi260,6.600660
theta036_phi270,5.935228
theta036_phi280,5.156146
theta036_phi290,4.321404
theta036_phi300,3.572895
theta036_phi310,2.827152
theta036_phi320,2.252125
theta036_phi330,1.695652
theta036_phi340,1.205882
theta036_phi350,0.914543
theta054_phi000,0.000000
theta054_phi010,0.137741
theta054_phi020,0.824742
theta054_phi030,1.984054
theta054_phi040,3.728639
theta054_phi050,4.782692
theta054_phi060,5.334043
theta054_phi070,5.234733
theta054_phi080,4.987694
theta054_phi090,5.026572
theta054_phi100,5.372835
theta054_phi110,5.684831
theta054_phi120,5.549113
theta054_phi130,5.362403
theta054_phi140,4.919114
theta054_phi150,4.854733
theta054_phi160,5.009366
theta054_phi170,6.110576
theta054_phi180,7.756549
theta054_phi190,9.736780
theta054_phi200,11.719868
theta054_phi210,13.222334
theta054_phi220,14.129188
theta054_phi230,14.265335
theta054_phi240,13.200565
theta054_phi250,12.174949
theta054_phi260,10.636874
theta054_phi270,8.612488
theta054_phi280,6.826916
theta054_phi290,5.038004
theta054_phi300,3.548981
theta054_phi310,2.251309
theta054_phi320,1.373773
theta054_phi330,0.656335
theta054_phi340,0.131086
theta054_phi350,0.000000
theta072_phi000,1.449465
theta072_phi010,3.424153
theta072_phi020,7.284494
theta072_phi030,11.968022
theta072_phi040,15.740907
theta072_phi050,16.128187
theta072_phi060,18.197097
theta072_phi070,19.858562
theta072_phi080,20.500853
theta072_phi090,23.274536
theta072_phi100,25.023629
theta072_phi110,27.456373
theta072_phi120,28.348509
theta072_phi130,24.353068
theta072_phi140,18.104346
theta072_phi150,14.266748
theta072_phi160,13.864018
theta072_phi170,15.576046
theta072_phi180,18.416051
theta072_phi190,21.462633
theta072_phi200,27.898273
theta072_phi210,36.247405
theta072_phi220,39.253720
theta072_phi230,36.243727
theta072_phi240,34.069331
theta072_phi250,31.844854
theta072_phi260,29.504488
theta072_phi270,25.499164
theta072_phi280,19.968200
theta072_phi290,14.605635
theta072_phi300,8.776240
theta072_phi310,5.292145
theta072_phi320,2.770816
theta072_phi330,0.849257
theta072_phi340,0.000000
theta072_phi350,0.265340
theta090_phi000,22.027961
theta090_phi010,21.404327
theta090_phi020,28.863785
theta090_phi030,35.035312
theta090_phi040,38.544826
theta090_phi050,37.783394
theta090_phi060,43.485700
theta090_phi070,47.355593
theta090_phi080,46.089210
theta090_phi090,48.929651
theta090_phi100,47.194064
theta090_phi110,44.454354
theta090_phi120,39.446975
theta090_phi130,30.783528
theta090_phi140,24.653956
theta090_phi150,20.602779
theta090_phi160,15.210547
theta090_phi170,12.094488
theta090_phi180,11.668430
theta090_phi190,21.511237
theta090_phi200,34.182319
theta090_phi210,48.694436
theta090_phi220,50.483621
theta090_phi230,47.635317
theta090_phi240,45.654160
theta090_phi250,45.826477
theta090_phi260,41.119531
theta090_phi270,32.060983
theta090_phi280,25.130129
theta090_phi290,21.443459
theta090_phi300,20.538116
theta090_phi310,20.011026
theta090_phi320,17.793992
theta090_phi330,17.855682
theta090_phi340,18.913724
theta090_phi350,20.296031
full_scene,10.863412
