viewpoint,avg_occlusion
theta000_phi000,20.098814
theta000_phi010,20.079365
theta000_phi020,20.118930
theta000_phi030,20.079444
theta000_phi040,20.119641
theta000_phi050,20.079602
theta000_phi060,20.079840
theta000_phi070,20.099404
theta000_phi080,20.079681
theta000_phi090,20.099502
theta000_phi100,20.099404
theta000_phi110,20.099305
theta000_phi120,20.079840
theta000_phi130,20.118930
theta000_phi140,20.099305
theta000_phi150,20.079130
theta000_phi160,20.099010
theta000_phi170,20.099305
theta000_phi180,20.119284
theta000_phi190,20.099404
theta000_phi200,20.099404
theta000_phi210,20.079840
theta000_phi220,20.099404
theta000_phi230,20.098717
theta000_phi240,20.118577
theta000_phi250,20.099108
theta000_phi260,20.059761
theta000_phi270,20.079523
theta000_phi280,20.118812
theta000_phi290,20.099010
theta000_phi300,20.099305
theta000_phi310,20.099206
theta000_phi320,20.098425
theta000_phi330,20.119284
theta000_phi340,20.119284
theta000_phi350,20.099305
theta018_phi000,17.567910
theta018_phi010,17.620311
theta018_phi020,17.911041
theta018_phi030,18.392614
theta018_phi040,17.564040
theta018_phi050,17.521527
theta018_phi060,17.577109
theta018_phi070,17.653061
theta018_phi080,18.080164
theta018_phi090,18.247423
theta018_phi100,19.081633
theta018_phi110,20.000000
theta018_phi120,20.000000
theta018_phi130,20.000000
theta018_phi140,20.000000
theta018_phi150,20.000000
theta018_phi160,20.000000
theta018_phi170,20.000000
theta018_phi180,20.000000
theta018_phi190,20.000000
theta018_phi200,20.000000
theta018_phi210,20.019011
theta018_phi220,20.038536
theta018_phi230,20.077519
theta018_phi240,20.194553
theta018_phi250,20.286587
theta018_phi260,20.097264
theta018_phi270,19.945997
theta018_phi280,19.830332
theta018_phi290,19.112591
theta018_phi300,18.113367
theta018_phi310,17.755578
theta018_phi320,17.577596
theta018_phi330,17.783401
theta018_phi340,17.596168
theta018_phi350,17.521678
theta036_phi000,12.482599
theta036_phi010,10.537069
theta036_phi020,9.109865
theta036_phi030,9.246102
theta036_phi040,9.798289
theta036_phi050,10.603493
theta036_phi060,10.370370
theta036_phi070,9.813084
theta036_phi080,9.861751
theta036_phi090,9.671362
theta036_phi100,10.571429
theta036_phi110,11.650485
theta036_phi120,13.160141
theta036_phi130,15.558052
theta036_phi140,17.918191
theta036_phi150,20.056533
theta036_phi160,21.752577
theta036_phi170,21.554404
theta036_phi180,20.860215
theta036_phi190,20.634921
theta036_phi200,20.000000
theta036_phi210,20.000000
theta036_phi220,19.651786
theta036_phi230,18.015988
theta036_phi240,16.468893
theta036_phi250,14.962343
theta036_phi260,14.774269
theta036_phi270,15.192724
theta036_phi280,15.699853
theta036_phi290,15.356027
theta036_phi300,15.631434
theta036_phi310,15.145534
theta036_phi320,14.584122
theta036_phi330,14.472766
theta036_phi340,14.770882
theta036_phi350,14.437539
theta054_phi000,6.675177
theta054_phi010,4.753198
theta054_phi020,3.815879
theta054_phi030,3.314042
theta054_phi040,2.948669
theta054_phi050,2.173155
theta054_phi060,1.614350
theta054_phi070,0.810811
theta054_phi080,0.814480
theta054_phi090,0.737327
theta054_phi100,1.214953
theta054_phi110,2.877564
theta054_phi120,5.865885
theta054_phi130,10.012217
theta054_phi140,14.026863
theta054_phi150,18.964574
theta054_phi160,22.723850
theta054_phi170,25.121237
theta054_phi180,24.456522
theta054_phi190,22.762431
theta054_phi200,21.600000
theta054_phi210,24.240505
theta054_phi220,25.767887
theta054_phi230,23.755692
theta054_phi240,19.235221
theta054_phi250,18.021798
theta054_phi260,18.172201
theta054_phi270,17.715364
theta054_phi280,17.659554
theta054_phi290,18.846587
theta054_phi300,21.281551
theta054_phi310,22.336676
theta054_phi320,20.408675
theta054_phi330,16.479400
theta054_phi340,12.579110
theta054_phi350,9.291654
theta072_phi000,5.057000
theta072_phi010,2.451532
theta072_phi020,1.393452
theta072_phi030,1.091691
theta072_phi040,1.114754
theta072_phi050,1.182432
theta072_phi060,0.978793
theta072_phi070,0.545455
theta072_phi080,0.058423
theta072_phi090,0.876799
theta072_phi100,4.723590
theta072_phi110,11.103772
theta072_phi120,18.874185
theta072_phi130,21.732513
theta072_phi140,23.503232
theta072_phi150,26.655572
theta072_phi160,28.365096
theta072_phi170,29.645562
theta072_phi180,26.655226
theta072_phi190,22.806442
theta072_phi200,23.815272
theta072_phi210,31.678323
theta072_phi220,35.297772
theta072_phi230,37.086638
theta072_phi240,28.284337
theta072_phi250,25.964180
theta072_phi260,22.669994
theta072_phi270,19.926080
theta072_phi280,17.413967
theta072_phi290,16.366374
theta072_phi300,17.064406
theta072_phi310,17.771982
theta072_phi320,17.295133
theta072_phi330,15.491364
theta072_phi340,12.053334
theta072_phi350,8.659691
theta090_phi000,11.431272
theta090_phi010,15.064004
theta090_phi020,20.087101
theta090_phi030,29.008793
theta090_phi040,41.027244
theta090_phi050,32.128875
theta090_phi060,29.660506
theta090_phi070,25.477855
theta090_phi080,21.496937
theta090_phi090,20.979322
theta090_phi100,16.591199
theta090_phi110,25.453790
theta090_phi120,37.250686
theta090_phi130,41.282295
theta090_phi140,40.503801
theta090_phi150,40.119061
theta090_phi160,36.691915
theta090_phi170,37.393921
theta090_phi180,37.872099
theta090_phi190,34.168801
theta090_phi200,33.979994
theta090_phi210,29.614516
theta090_phi220,33.729680
theta090_phi230,25.899437
theta090_phi240,14.000691
theta090_phi250,12.484540
theta090_phi260,10.683615
theta090_phi270,10.818577
theta090_phi280,6.922423
theta090_phi290,6.808755
theta090_phi300,10.717936
theta090_phi310,15.014993
theta090_phi320,17.477308
theta090_phi330,17.544754
theta090_phi340,17.278481
theta090_phi350,13.641831
full_scene,17.917096
