theta,phi,obj_id,filename,occlusion_pct,view_avg_pct,view_std_pct
0,0,5,,0.0,0.0,0.0
0,0,6,,0.0,0.0,0.0
0,0,7,,0.0,0.0,0.0
0,0,8,,0.0,0.0,0.0
0,10,5,,0.0,0.0,0.0
0,10,6,,0.0,0.0,0.0
0,10,7,,0.0,0.0,0.0
0,10,8,,0.0,0.0,0.0
0,20,5,,0.0,0.0,0.0
0,20,6,,0.0,0.0,0.0
0,20,7,,0.0,0.0,0.0
0,20,8,,0.0,0.0,0.0
0,30,5,,0.0,0.0,0.0
0,30,6,,0.0,0.0,0.0
0,30,7,,0.0,0.0,0.0
0,30,8,,0.0,0.0,0.0
0,40,5,,0.0,0.0,0.0
0,40,6,,0.0,0.0,0.0
0,40,7,,0.0,0.0,0.0
0,40,8,,0.0,0.0,0.0
0,50,5,,0.0,0.0,0.0
0,50,6,,0.0,0.0,0.0
0,50,7,,0.0,0.0,0.0
0,50,8,,0.0,0.0,0.0
0,60,5,,0.0,0.0,0.0
0,60,6,,0.0,0.0,0.0
0,60,7,,0.0,0.0,0.0
0,60,8,,0.0,0.0,0.0
0,70,5,,0.0,0.0,0.0
0,70,6,,0.0,0.0,0.0
0,70,7,,0.0,0.0,0.0
0,70,8,,0.0,0.0,0.0
0,80,5,,0.0,0.0,0.0
0,80,6,,0.0,0.0,0.0
0,80,7,,0.0,0.0,0.0
0,80,8,,0.0,0.0,0.0
0,90,5,,0.0,0.0,0.0
0,90,6,,0.0,0.0,0.0
0,90,7,,0.0,0.0,0.0
0,90,8,,0.0,0.0,0.0
0,100,5,,0.0,0.0,0.0
0,100,6,,0.0,0.0,0.0
0,100,7,,0.0,0.0,0.0
0,100,8,,0.0,0.0,0.0
0,110,5,,0.0,0.0,0.0
0,110,6,,0.0,0.0,0.0
0,110,7,,0.0,0.0,0.0
0,110,8,,0.0,0.0,0.0
0,120,5,,0.0,0.0,0.0
0,120,6,,0.0,0.0,0.0
0,120,7,,0.0,0.0,0.0
0,120,8,,0.0,0.0,0.0
0,130,5,,0.0,0.0,0.0
0,130,6,,0.0,0.0,0.0
0,130,7,,0.0,0.0,0.0
0,130,8,,0.0,0.0,0.0
0,140,5,,0.0,0.0,0.0
0,140,6,,0.0,0.0,0.0
0,140,7,,0.0,0.0,0.0
0,140,8,,0.0,0.0,0.0
0,150,5,,0.0,0.0,0.0
0,150,6,,0.0,0.0,0.0
0,150,7,,0.0,0.0,0.0
0,150,8,,0.0,0.0,0.0
0,160,5,,0.0,0.0,0.0
0,160,6,,0.0,0.0,0.0
0,160,7,,0.0,0.0,0.0
0,160,8,,0.0,0.0,0.0
0,170,5,,0.0,0.0,0.0
0,170,6,,0.0,0.0,0.0
0,170,7,,0.0,0.0,0.0
0,170,8,,0.0,0.0,0.0
0,180,5,,0.0,0.0,0.0
0,180,6,,0.0,0.0,0.0
0,180,7,,0.0,0.0,0.0
0,180,8,,0.0,0.0,0.0
0,190,5,,0.0,0.0,0.0
0,190,6,,0.0,0.0,0.0
0,190,7,,0.0,0.0,0.0
0,190,8,,0.0,0.0,0.0
0,200,5,,0.0,0.0,0.0
0,200,6,,0.0,0.0,0.0
0,200,7,,0.0,0.0,0.0
0,200,8,,0.0,0.0,0.0
0,210,5,,0.0,0.0,0.0
0,210,6,,0.0,0.0,0.0
0,210,7,,0.0,0.0,0.0
0,210,8,,0.0,0.0,0.0
0,220,5,,0.0,0.0,0.0
0,220,6,,0.0,0.0,0.0
0,220,7,,0.0,0.0,0.0
0,220,8,,0.0,0.0,0.0
0,230,5,,0.0,0.0,0.0
0,230,6,,0.0,0.0,0.0
0,230,7,,0.0,0.0,0.0
0,230,8,,0.0,0.0,0.0
0,240,5,,0.0,0.0,0.0
0,240,6,,0.0,0.0,0.0
0,240,7,,0.0,0.0,0.0
0,240,8,,0.0,0.0,0.0
0,250,5,,0.0,0.0,0.0
0,250,6,,0.0,0.0,0.0
0,250,7,,0.0,0.0,0.0
0,250,8,,0.0,0.0,0.0
0,260,5,,0.0,0.0,0.0
0,260,6,,0.0,0.0,0.0
0,260,7,,0.0,0.0,0.0
0,260,8,,0.0,0.0,0.0
0,270,5,,0.0,0.0,0.0
0,270,6,,0.0,0.0,0.0
0,270,7,,0.0,0.0,0.0
0,270,8,,0.0,0.0,0.0
0,280,5,,0.0,0.0,0.0
0,280,6,,0.0,0.0,0.0
0,280,7,,0.0,0.0,0.0
0,280,8,,0.0,0.0,0.0
0,290,5,,0.0,0.0,0.0
0,290,6,,0.0,0.0,0.0
0,290,7,,0.0,0.0,0.0
0,290,8,,0.0,0.0,0.0
0,300,5,,0.0,0.0,0.0
0,300,6,,0.0,0.0,0.0
0,300,7,,0.0,0.0,0.0
0,300,8,,0.0,0.0,0.0
0,310,5,,0.0,0.0,0.0
0,310,6,,0.0,0.0,0.0
0,310,7,,0.0,0.0,0.0
0,310,8,,0.0,0.0,0.0
0,320,5,,0.0,0.0,0.0
0,320,6,,0.0,0.0,0.0
0,320,7,,0.0,0.0,0.0
0,320,8,,0.0,0.0,0.0
0,330,5,,0.0,0.0,0.0
0,330,6,,0.0,0.0,0.0
0,330,7,,0.0,0.0,0.0
0,330,8,,0.0,0.0,0.0
0,340,5,,0.0,0.0,0.0
0,340,6,,0.0,0.0,0.0
0,340,7,,0.0,0.0,0.0
0,340,8,,0.0,0.0,0.0
0,350,5,,0.0,0.0,0.0
0,350,6,,0.0,0.0,0.0
0,350,7,,0.0,0.0,0.0
0,350,8,,0.0,0.0,0.0
18,0,5,,0.0,0.0,0.0
18,0,6,,0.0,0.0,0.0
18,0,7,,0.0,0.0,0.0
18,0,8,,0.0,0.0,0.0
18,10,5,,0.0,0.0,0.0
18,10,6,,0.0,0.0,0.0
18,10,7,,0.0,0.0,0.0
18,10,8,,0.0,0.0,0.0
18,20,5,,0.0,0.0,0.0
18,20,6,,0.0,0.0,0.0
18,20,7,,0.0,0.0,0.0
18,20,8,,0.0,0.0,0.0
18,30,5,,0.0,0.0,0.0
18,30,6,,0.0,0.0,0.0
18,30,7,,0.0,0.0,0.0
18,30,8,,0.0,0.0,0.0
18,40,5,,0.0,0.0,0.0
18,40,6,,0.0,0.0,0.0
18,40,7,,0.0,0.0,0.0
18,40,8,,0.0,0.0,0.0
18,50,5,,0.0,0.0,0.0
18,50,6,,0.0,0.0,0.0
18,50,7,,0.0,0.0,0.0
18,50,8,,0.0,0.0,0.0
18,60,5,,0.0,0.0,0.0
18,60,6,,0.0,0.0,0.0
18,60,7,,0.0,0.0,0.0
18,60,8,,0.0,0.0,0.0
18,70,5,,0.0,0.0,0.0
18,70,6,,0.0,0.0,0.0
18,70,7,,0.0,0.0,0.0
18,70,8,,0.0,0.0,0.0
18,80,5,,0.0,0.0,0.0
18,80,6,,0.0,0.0,0.0
18,80,7,,0.0,0.0,0.0
18,80,8,,0.0,0.0,0.0
18,90,5,,0.0,0.0,0.0
18,90,6,,0.0,0.0,0.0
18,90,7,,0.0,0.0,0.0
18,90,8,,0.0,0.0,0.0
18,100,5,,0.0,0.0,0.0
18,100,6,,0.0,0.0,0.0
18,100,7,,0.0,0.0,0.0
18,100,8,,0.0,0.0,0.0
18,110,5,,0.0,0.0,0.0
18,110,6,,0.0,0.0,0.0
18,110,7,,0.0,0.0,0.0
18,110,8,,0.0,0.0,0.0
18,120,5,,0.0,0.0,0.0
18,120,6,,0.0,0.0,0.0
18,120,7,,0.0,0.0,0.0
18,120,8,,0.0,0.0,0.0
18,130,5,,0.0,0.0,0.0
18,130,6,,0.0,0.0,0.0
18,130,7,,0.0,0.0,0.0
18,130,8,,0.0,0.0,0.0
18,140,5,,0.0,0.0,0.0
18,140,6,,0.0,0.0,0.0
18,140,7,,0.0,0.0,0.0
18,140,8,,0.0,0.0,0.0
18,150,5,,0.0,0.0,0.0
18,150,6,,0.0,0.0,0.0
18,150,7,,0.0,0.0,0.0
18,150,8,,0.0,0.0,0.0
18,160,5,,0.0,0.0,0.0
18,160,6,,0.0,0.0,0.0
18,160,7,,0.0,0.0,0.0
18,160,8,,0.0,0.0,0.0
18,170,5,,0.0,0.0,0.0
18,170,6,,0.0,0.0,0.0
18,170,7,,0.0,0.0,0.0
18,170,8,,0.0,0.0,0.0
18,180,5,,0.0,0.0,0.0
18,180,6,,0.0,0.0,0.0
18,180,7,,0.0,0.0,0.0
18,180,8,,0.0,0.0,0.0
18,190,5,,0.0,0.0,0.0
18,190,6,,0.0,0.0,0.0
18,190,7,,0.0,0.0,0.0
18,190,8,,0.0,0.0,0.0
18,200,5,,0.0,0.0,0.0
18,200,6,,0.0,0.0,0.0
18,200,7,,0.0,0.0,0.0
18,200,8,,0.0,0.0,0.0
18,210,5,,0.0,0.0,0.0
18,210,6,,0.0,0.0,0.0
18,210,7,,0.0,0.0,0.0
18,210,8,,0.0,0.0,0.0
18,220,5,,0.0,0.0,0.0
18,220,6,,0.0,0.0,0.0
18,220,7,,0.0,0.0,0.0
18,220,8,,0.0,0.0,0.0
18,230,5,,0.0,0.0,0.0
18,230,6,,0.0,0.0,0.0
18,230,7,,0.0,0.0,0.0
18,230,8,,0.0,0.0,0.0
18,240,5,,0.0,0.0,0.0
18,240,6,,0.0,0.0,0.0
18,240,7,,0.0,0.0,0.0
18,240,8,,0.0,0.0,0.0
18,250,5,,0.0,0.0,0.0
18,250,6,,0.0,0.0,0.0
18,250,7,,0.0,0.0,0.0
18,250,8,,0.0,0.0,0.0
18,260,5,,0.0,0.0,0.0
18,260,6,,0.0,0.0,0.0
18,260,7,,0.0,0.0,0.0
18,260,8,,0.0,0.0,0.0
18,270,5,,0.0,0.0,0.0
18,270,6,,0.0,0.0,0.0
18,270,7,,0.0,0.0,0.0
18,270,8,,0.0,0.0,0.0
18,280,5,,0.0,0.0,0.0
18,280,6,,0.0,0.0,0.0
18,280,7,,0.0,0.0,0.0
18,280,8,,0.0,0.0,0.0
18,290,5,,0.0,0.0,0.0
18,290,6,,0.0,0.0,0.0
18,290,7,,0.0,0.0,0.0
18,290,8,,0.0,0.0,0.0
18,300,5,,0.0,0.0,0.0
18,300,6,,0.0,0.0,0.0
18,300,7,,0.0,0.0,0.0
18,300,8,,0.0,0.0,0.0
18,310,5,,0.0,0.0,0.0
18,310,6,,0.0,0.0,0.0
18,310,7,,0.0,0.0,0.0
18,310,8,,0.0,0.0,0.0
18,320,5,,0.0,0.0,0.0
18,320,6,,0.0,0.0,0.0
18,320,7,,0.0,0.0,0.0
18,320,8,,0.0,0.0,0.0
18,330,5,,0.0,0.0,0.0
18,330,6,,0.0,0.0,0.0
18,330,7,,0.0,0.0,0.0
18,330,8,,0.0,0.0,0.0
18,340,5,,0.0,0.0,0.0
18,340,6,,0.0,0.0,0.0
18,340,7,,0.0,0.0,0.0
18,340,8,,0.0,0.0,0.0
18,350,5,,0.0,0.0,0.0
18,350,6,,0.0,0.0,0.0
18,350,7,,0.0,0.0,0.0
18,350,8,,0.0,0.0,0.0
36,0,5,,0.0,0.0,0.0
36,0,6,,0.0,0.0,0.0
36,0,7,,0.0,0.0,0.0
36,0,8,,0.0,0.0,0.0
36,10,5,,0.0,0.0,0.0
36,10,6,,0.0,0.0,0.0
36,10,7,,0.0,0.0,0.0
36,10,8,,0.0,0.0,0.0
36,20,5,,0.0,0.0,0.0
36,20,6,,0.0,0.0,0.0
36,20,7,,0.0,0.0,0.0
36,20,8,,0.0,0.0,0.0
36,30,5,,0.0,0.0,0.0
36,30,6,,0.0,0.0,0.0
36,30,7,,0.0,0.0,0.0
36,30,8,,0.0,0.0,0.0
36,40,5,,0.0,0.0,0.0
36,40,6,,0.0,0.0,0.0
36,40,7,,0.0,0.0,0.0
36,40,8,,0.0,0.0,0.0
36,50,5,,0.0,0.0,0.0
36,50,6,,0.0,0.0,0.0
36,50,7,,0.0,0.0,0.0
36,50,8,,0.0,0.0,0.0
36,60,5,,0.0,0.0,0.0
36,60,6,,0.0,0.0,0.0
36,60,7,,0.0,0.0,0.0
36,60,8,,0.0,0.0,0.0
36,70,5,,0.0,0.0,0.0
36,70,6,,0.0,0.0,0.0
36,70,7,,0.0,0.0,0.0
36,70,8,,0.0,0.0,0.0
36,80,5,,0.0,0.0,0.0
36,80,6,,0.0,0.0,0.0
36,80,7,,0.0,0.0,0.0
36,80,8,,0.0,0.0,0.0
36,90,5,,0.0,0.0,0.0
36,90,6,,0.0,0.0,0.0
36,90,7,,0.0,0.0,0.0
36,90,8,,0.0,0.0,0.0
36,100,5,,0.0,0.0,0.0
36,100,6,,0.0,0.0,0.0
36,100,7,,0.0,0.0,0.0
36,100,8,,0.0,0.0,0.0
36,110,5,,0.0,0.0,0.0
36,110,6,,0.0,0.0,0.0
36,110,7,,0.0,0.0,0.0
36,110,8,,0.0,0.0,0.0
36,120,5,,0.0,0.0,0.0
36,120,6,,0.0,0.0,0.0
36,120,7,,0.0,0.0,0.0
36,120,8,,0.0,0.0,0.0
36,130,5,,0.0,0.0,0.0
36,130,6,,0.0,0.0,0.0
36,130,7,,0.0,0.0,0.0
36,130,8,,0.0,0.0,0.0
36,140,5,,0.0,0.0,0.0
36,140,6,,0.0,0.0,0.0
36,140,7,,0.0,0.0,0.0
36,140,8,,0.0,0.0,0.0
36,150,5,,0.0,0.0,0.0
36,150,6,,0.0,0.0,0.0
36,150,7,,0.0,0.0,0.0
36,150,8,,0.0,0.0,0.0
36,160,5,,0.0,0.0,0.0
36,160,6,,0.0,0.0,0.0
36,160,7,,0.0,0.0,0.0
36,160,8,,0.0,0.0,0.0
36,170,5,,0.0,0.0,0.0
36,170,6,,0.0,0.0,0.0
36,170,7,,0.0,0.0,0.0
36,170,8,,0.0,0.0,0.0
36,180,5,,0.0,0.0,0.0
36,180,6,,0.0,0.0,0.0
36,180,7,,0.0,0.0,0.0
36,180,8,,0.0,0.0,0.0
36,190,5,,0.0,0.0,0.0
36,190,6,,0.0,0.0,0.0
36,190,7,,0.0,0.0,0.0
36,190,8,,0.0,0.0,0.0
36,200,5,,0.0,0.0,0.0
36,200,6,,0.0,0.0,0.0
36,200,7,,0.0,0.0,0.0
36,200,8,,0.0,0.0,0.0
36,210,5,,0.0,0.0,0.0
36,210,6,,0.0,0.0,0.0
36,210,7,,0.0,0.0,0.0
36,210,8,,0.0,0.0,0.0
36,220,5,,0.0,0.0,0.0
36,220,6,,0.0,0.0,0.0
36,220,7,,0.0,0.0,0.0
36,220,8,,0.0,0.0,0.0
36,230,5,,0.0,0.0,0.0
36,230,6,,0.0,0.0,0.0
36,230,7,,0.0,0.0,0.0
36,230,8,,0.0,0.0,0.0
36,240,5,,0.0,0.0,0.0
36,240,6,,0.0,0.0,0.0
36,240,7,,0.0,0.0,0.0
36,240,8,,0.0,0.0,0.0
36,250,5,,0.0,0.0,0.0
36,250,6,,0.0,0.0,0.0
36,250,7,,0.0,0.0,0.0
36,250,8,,0.0,0.0,0.0
36,260,5,,0.0,0.0,0.0
36,260,6,,0.0,0.0,0.0
36,260,7,,0.0,0.0,0.0
36,260,8,,0.0,0.0,0.0
36,270,5,,0.0,0.0,0.0
36,270,6,,0.0,0.0,0.0
36,270,7,,0.0,0.0,0.0
36,270,8,,0.0,0.0,0.0
36,280,5,,0.0,0.0,0.0
36,280,6,,0.0,0.0,0.0
36,280,7,,0.0,0.0,0.0
36,280,8,,0.0,0.0,0.0
36,290,5,,0.0,0.0,0.0
36,290,6,,0.0,0.0,0.0
36,290,7,,0.0,0.0,0.0
36,290,8,,0.0,0.0,0.0
36,300,5,,0.0,0.0,0.0
36,300,6,,0.0,0.0,0.0
36,300,7,,0.0,0.0,0.0
36,300,8,,0.0,0.0,0.0
36,310,5,,0.0,0.0,0.0
36,310,6,,0.0,0.0,0.0
36,310,7,,0.0,0.0,0.0
36,310,8,,0.0,0.0,0.0
36,320,5,,0.0,0.0,0.0
36,320,6,,0.0,0.0,0.0
36,320,7,,0.0,0.0,0.0
36,320,8,,0.0,0.0,0.0
36,330,5,,0.0,0.0,0.0
36,330,6,,0.0,0.0,0.0
36,330,7,,0.0,0.0,0.0
36,330,8,,0.0,0.0,0.0
36,340,5,,0.0,0.0,0.0
36,340,6,,0.0,0.0,0.0
36,340,7,,0.0,0.0,0.0
36,340,8,,0.0,0.0,0.0
36,350,5,,0.0,0.0,0.0
36,350,6,,0.0,0.0,0.0
36,350,7,,0.0,0.0,0.0
36,350,8,,0.0,0.0,0.0
54,0,5,,0.0,0.0,0.0
54,0,6,,0.0,0.0,0.0
54,0,7,,0.0,0.0,0.0
54,0,8,,0.0,0.0,0.0
54,10,5,,0.0,0.0,0.0
54,10,6,,0.0,0.0,0.0
54,10,7,,0.0,0.0,0.0
54,10,8,,0.0,0.0,0.0
54,20,5,,0.0,0.0,0.0
54,20,6,,0.0,0.0,0.0
54,20,7,,0.0,0.0,0.0
54,20,8,,0.0,0.0,0.0
54,30,5,,0.0,0.0,0.0
54,30,6,,0.0,0.0,0.0
54,30,7,,0.0,0.0,0.0
54,30,8,,0.0,0.0,0.0
54,40,5,,0.0,0.0,0.0
54,40,6,,0.0,0.0,0.0
54,40,7,,0.0,0.0,0.0
54,40,8,,0.0,0.0,0.0
54,50,5,,0.0,0.0,0.0
54,50,6,,0.0,0.0,0.0
54,50,7,,0.0,0.0,0.0
54,50,8,,0.0,0.0,0.0
54,60,5,,0.0,0.0,0.0
54,60,6,,0.0,0.0,0.0
54,60,7,,0.0,0.0,0.0
54,60,8,,0.0,0.0,0.0
54,70,5,,0.0,0.0,0.0
54,70,6,,0.0,0.0,0.0
54,70,7,,0.0,0.0,0.0
54,70,8,,0.0,0.0,0.0
54,80,5,,0.0,0.0,0.0
54,80,6,,0.0,0.0,0.0
54,80,7,,0.0,0.0,0.0
54,80,8,,0.0,0.0,0.0
54,90,5,,0.0,0.0,0.0
54,90,6,,0.0,0.0,0.0
54,90,7,,0.0,0.0,0.0
54,90,8,,0.0,0.0,0.0
54,100,5,,0.0,0.0,0.0
54,100,6,,0.0,0.0,0.0
54,100,7,,0.0,0.0,0.0
54,100,8,,0.0,0.0,0.0
54,110,5,,0.0,0.0,0.0
54,110,6,,0.0,0.0,0.0
54,110,7,,0.0,0.0,0.0
54,110,8,,0.0,0.0,0.0
54,120,5,,0.0,0.0,0.0
54,120,6,,0.0,0.0,0.0
54,120,7,,0.0,0.0,0.0
54,120,8,,0.0,0.0,0.0
54,130,5,,0.0,0.0,0.0
54,130,6,,0.0,0.0,0.0
54,130,7,,0.0,0.0,0.0
54,130,8,,0.0,0.0,0.0
54,140,5,,0.0,0.0,0.0
54,140,6,,0.0,0.0,0.0
54,140,7,,0.0,0.0,0.0
54,140,8,,0.0,0.0,0.0
54,150,5,,0.0,0.0,0.0
54,150,6,,0.0,0.0,0.0
54,150,7,,0.0,0.0,0.0
54,150,8,,0.0,0.0,0.0
54,160,5,,0.0,0.0,0.0
54,160,6,,0.0,0.0,0.0
54,160,7,,0.0,0.0,0.0
54,160,8,,0.0,0.0,0.0
54,170,5,,0.0,0.0,0.0
54,170,6,,0.0,0.0,0.0
54,170,7,,0.0,0.0,0.0
54,170,8,,0.0,0.0,0.0
54,180,5,,0.0,0.0,0.0
54,180,6,,0.0,0.0,0.0
54,180,7,,0.0,0.0,0.0
54,180,8,,0.0,0.0,0.0
54,190,5,,0.0,0.0,0.0
