viewpoint,avg_occlusion
theta000_phi000,0.000000
theta000_phi010,0.000000
theta000_phi020,0.000000
theta000_phi030,0.000000
theta000_phi040,0.000000
theta000_phi050,0.000000
theta000_phi060,0.000000
theta000_phi070,0.000000
theta000_phi080,0.000000
theta000_phi090,0.000000
theta000_phi100,0.000000
theta000_phi110,0.000000
theta000_phi120,0.000000
theta000_phi130,0.000000
theta000_phi140,0.000000
theta000_phi150,0.000000
theta000_phi160,0.000000
theta000_phi170,0.000000
theta000_phi180,0.000000
theta000_phi190,0.000000
theta000_phi200,0.000000
theta000_phi210,0.000000
theta000_phi220,0.000000
theta000_phi230,0.000000
theta000_phi240,0.000000
theta000_phi250,0.000000
theta000_phi260,0.000000
theta000_phi270,0.000000
theta000_phi280,0.000000
theta000_phi290,0.000000
theta000_phi300,0.000000
theta000_phi310,0.000000
theta000_phi320,0.000000
theta000_phi330,0.000000
theta000_phi340,0.000000
theta000_phi350,0.000000
theta018_phi000,0.000000
theta018_phi010,0.000000
theta018_phi020,0.000000
theta018_phi030,0.000000
theta018_phi040,0.000000
theta018_phi050,0.000000
theta018_phi060,0.000000
theta018_phi070,0.000000
theta018_phi080,0.000000
theta018_phi090,0.000000
theta018_phi100,0.000000
theta018_phi110,0.000000
theta018_phi120,0.000000
theta018_phi130,0.000000
theta018_phi140,0.000000
theta018_phi150,0.000000
theta018_phi160,0.000000
theta018_phi170,0.000000
theta018_phi180,0.000000
theta018_phi190,0.000000
theta018_phi200,0.000000
theta018_phi210,0.000000
theta018_phi220,0.000000
theta018_phi230,0.000000
theta018_phi240,0.000000
theta018_phi250,0.000000
theta018_phi260,0.000000
theta018_phi270,0.000000
theta018_phi280,0.000000
theta018_phi290,0.000000
theta018_phi300,0.000000
theta018_phi310,0.000000
theta018_phi320,0.000000
theta018_phi330,0.000000
theta018_phi340,0.000000
theta018_phi350,0.000000
theta036_phi000,0.000000
theta036_phi010,0.000000
theta036_phi020,0.000000
theta036_phi030,0.000000
theta036_phi040,0.000000
theta036_phi050,0.000000
theta036_phi060,0.000000
theta036_phi070,0.000000
theta036_phi080,0.000000
theta036_phi090,0.000000
theta036_phi100,0.000000
theta036_phi110,0.000000
theta036_phi120,0.000000
theta036_phi130,0.000000
theta036_phi140,0.000000
theta036_phi150,0.000000
theta036_phi160,0.000000
theta036_phi170,0.000000
theta036_phi180,0.000000
theta036_phi190,0.000000
theta036_phi200,0.000000
theta036_phi210,0.000000
theta036_phi220,0.000000
theta036_phi230,0.000000
theta036_phi240,0.000000
theta036_phi250,0.000000
theta036_phi260,0.000000
theta036_phi270,0.000000
theta036_phi280,0.000000
theta036_phi290,0.000000
theta036_phi300,0.000000
theta036_phi310,0.000000
theta036_phi320,0.000000
theta036_phi330,0.000000
theta036_phi340,0.000000
theta036_phi350,0.000000
theta054_phi000,0.000000
theta054_phi010,0.000000
theta054_phi020,0.000000
theta054_phi030,0.000000
theta054_phi040,0.000000
theta054_phi050,0.000000
theta054_phi060,0.000000
theta054_phi070,0.000000
theta054_phi080,0.000000
theta054_phi090,0.000000
theta054_phi100,0.000000
theta054_phi110,0.000000
theta054_phi120,0.000000
theta054_phi130,0.000000
theta054_phi140,0.000000
theta054_phi150,0.000000
theta054_phi160,0.000000
theta054_phi170,0.000000
theta054_phi180,0.000000
theta054_phi190,0.000000
theta054_phi200,0.000000
theta054_phi210,0.000000
theta054_phi220,0.000000
theta054_phi230,0.000000
theta054_phi240,0.000000
theta054_phi250,2.053140
theta054_phi260,4.534314
theta054_phi270,4.950495
theta054_phi280,1.970443
theta054_phi290,0.000000
theta054_phi300,0.000000
theta054_phi310,0.000000
theta054_phi320,0.000000
theta054_phi330,0.000000
theta054_phi340,0.000000
theta054_phi350,0.000000
theta072_phi000,0.409836
theta072_phi010,3.142857
theta072_phi020,3.385417
theta072_phi030,0.341412
theta072_phi040,0.000000
theta072_phi050,0.000000
theta072_phi060,0.000000
theta072_phi070,0.000000
theta072_phi080,0.029138
theta072_phi090,0.165198
theta072_phi100,0.367261
theta072_phi110,0.178389
theta072_phi120,0.000000
theta072_phi130,5.253623
theta072_phi140,7.649254
theta072_phi150,2.112676
theta072_phi160,0.000000
theta072_phi170,0.000000
theta072_phi180,0.000000
theta072_phi190,0.000000
theta072_phi200,0.000000
theta072_phi210,0.452196
theta072_phi220,0.065445
theta072_phi230,3.502415
theta072_phi240,15.975610
theta072_phi250,22.613065
theta072_phi260,24.226804
theta072_phi270,24.867725
theta072_phi280,19.324324
theta072_phi290,7.887701
theta072_phi300,0.000000
theta072_phi310,0.000000
theta072_phi320,0.000000
theta072_phi330,0.000000
theta072_phi340,0.000000
theta072_phi350,0.000000
theta090_phi000,6.572165
theta090_phi010,25.000000
theta090_phi020,30.455408
theta090_phi030,28.784387
theta090_phi040,20.703704
theta090_phi050,4.070556
theta090_phi060,15.194674
theta090_phi070,31.767139
theta090_phi080,8.402206
theta090_phi090,5.602537
theta090_phi100,5.085599
theta090_phi110,2.290640
theta090_phi120,24.118593
theta090_phi130,15.961538
theta090_phi140,23.854962
theta090_phi150,23.426573
theta090_phi160,18.548387
theta090_phi170,1.492042
theta090_phi180,6.223776
theta090_phi190,6.857765
theta090_phi200,6.824818
theta090_phi210,17.820324
theta090_phi220,18.100890
theta090_phi230,13.118634
theta090_phi240,21.446701
theta090_phi250,22.460196
theta090_phi260,32.434420
theta090_phi270,31.314291
theta090_phi280,23.666667
theta090_phi290,9.554140
theta090_phi300,23.715943
theta090_phi310,5.150000
theta090_phi320,7.435345
theta090_phi330,5.702765
theta090_phi340,0.000000
theta090_phi350,0.000000
full_scene,3.234336
