viewpoint,avg_occlusion
theta000_phi000,0.000000
theta000_phi010,0.000000
theta000_phi020,0.000000
theta000_phi030,0.000000
theta000_phi040,0.000000
theta000_phi050,0.000000
theta000_phi060,0.000000
theta000_phi070,0.000000
theta000_phi080,0.000000
theta000_phi090,0.000000
theta000_phi100,0.000000
theta000_phi110,0.000000
theta000_phi120,0.000000
theta000_phi130,0.000000
theta000_phi140,0.000000
theta000_phi150,0.000000
theta000_phi160,0.000000
theta000_phi170,0.000000
theta000_phi180,0.000000
theta000_phi190,0.000000
theta000_phi200,0.000000
theta000_phi210,0.000000
theta000_phi220,0.000000
theta000_phi230,0.000000
theta000_phi240,0.000000
theta000_phi250,0.000000
theta000_phi260,0.000000
theta000_phi270,0.000000
theta000_phi280,0.000000
theta000_phi290,0.000000
theta000_phi300,0.000000
theta000_phi310,0.000000
theta000_phi320,0.000000
theta000_phi330,0.000000
theta000_phi340,0.000000
theta000_phi350,0.000000
theta018_phi000,0.000000
theta018_phi010,0.065789
theta018_phi020,0.108131
theta018_phi030,0.149573
theta018_phi040,0.126050
theta018_phi050,0.083542
theta018_phi060,0.061932
theta018_phi070,0.000000
theta018_phi080,0.000000
theta018_phi090,0.000000
theta018_phi100,0.000000
theta018_phi110,0.000000
theta018_phi120,0.000000
theta018_phi130,0.000000
theta018_phi140,0.000000
theta018_phi150,0.000000
theta018_phi160,0.000000
theta018_phi170,0.000000
theta018_phi180,0.000000
theta018_phi190,0.000000
theta018_phi200,0.000000
theta018_phi210,0.000000
theta018_phi220,0.000000
theta018_phi230,0.000000
theta018_phi240,0.000000
theta018_phi250,0.000000
theta018_phi260,0.000000
theta018_phi270,0.000000
theta018_phi280,0.000000
theta018_phi290,0.000000
theta018_phi300,0.000000
theta018_phi310,0.000000
theta018_phi320,0.000000
theta018_phi330,0.000000
theta018_phi340,0.022936
theta018_phi350,0.000000
theta036_phi000,2.145612
theta036_phi010,1.910377
theta036_phi020,1.469216
theta036_phi030,1.020871
theta036_phi040,0.795756
theta036_phi050,0.451419
theta036_phi060,0.106112
theta036_phi070,0.000000
theta036_phi080,0.000000
theta036_phi090,0.000000
theta036_phi100,0.000000
theta036_phi110,0.000000
theta036_phi120,0.000000
theta036_phi130,0.000000
theta036_phi140,0.032595
theta036_phi150,0.065963
theta036_phi160,0.065789
theta036_phi170,0.032595
theta036_phi180,0.000000
theta036_phi190,0.000000
theta036_phi200,0.000000
theta036_phi210,0.000000
theta036_phi220,0.000000
theta036_phi230,0.000000
theta036_phi240,0.000000
theta036_phi250,0.000000
theta036_phi260,0.000000
theta036_phi270,0.000000
theta036_phi280,0.048733
theta036_phi290,0.180227
theta036_phi300,0.424178
theta036_phi310,0.684211
theta036_phi320,0.990615
theta036_phi330,1.419878
theta036_phi340,1.861966
theta036_phi350,2.174976
theta054_phi000,5.769231
theta054_phi010,5.054945
theta054_phi020,3.977871
theta054_phi030,2.662272
theta054_phi040,1.394325
theta054_phi050,0.751174
theta054_phi060,0.092081
theta054_phi070,0.000000
theta054_phi080,0.000000
theta054_phi090,0.000000
theta054_phi100,0.000000
theta054_phi110,0.000000
theta054_phi120,0.039557
theta054_phi130,0.129758
theta054_phi140,0.474383
theta054_phi150,0.974659
theta054_phi160,1.445087
theta054_phi170,1.722533
theta054_phi180,1.675725
theta054_phi190,1.324786
theta054_phi200,0.703642
theta054_phi210,0.316456
theta054_phi220,0.114155
theta054_phi230,0.071327
theta054_phi240,0.000000
theta054_phi250,0.000000
theta054_phi260,0.039002
theta054_phi270,0.488599
theta054_phi280,0.178255
theta054_phi290,0.187366
theta054_phi300,0.667053
theta054_phi310,1.423267
theta054_phi320,2.699387
theta054_phi330,4.156770
theta054_phi340,5.390443
theta054_phi350,5.994318
theta072_phi000,13.311338
theta072_phi010,10.732165
theta072_phi020,8.072289
theta072_phi030,5.237826
theta072_phi040,2.531983
theta072_phi050,0.584350
theta072_phi060,0.024704
theta072_phi070,0.000000
theta072_phi080,0.000000
theta072_phi090,0.000000
theta072_phi100,0.000000
theta072_phi110,0.000000
theta072_phi120,0.307570
theta072_phi130,2.658133
theta072_phi140,7.856142
theta072_phi150,16.427432
theta072_phi160,22.195122
theta072_phi170,22.304327
theta072_phi180,16.675647
theta072_phi190,11.500897
theta072_phi200,6.466395
theta072_phi210,3.131749
theta072_phi220,1.413043
theta072_phi230,1.268663
theta072_phi240,4.283758
theta072_phi250,9.892788
theta072_phi260,15.349076
theta072_phi270,18.652561
theta072_phi280,15.669014
theta072_phi290,12.128527
theta072_phi300,7.409556
theta072_phi310,5.172547
theta072_phi320,5.196403
theta072_phi330,9.046031
theta072_phi340,13.049893
theta072_phi350,14.584106
theta090_phi000,22.854435
theta090_phi010,13.949225
theta090_phi020,8.026467
theta090_phi030,4.307525
theta090_phi040,1.893552
theta090_phi050,0.491642
theta090_phi060,0.048077
theta090_phi070,2.863128
theta090_phi080,6.527909
theta090_phi090,11.084453
theta090_phi100,14.278195
theta090_phi110,14.130845
theta090_phi120,20.028073
theta090_phi130,37.243702
theta090_phi140,29.188795
theta090_phi150,34.666625
theta090_phi160,44.312863
theta090_phi170,40.910570
theta090_phi180,29.819235
theta090_phi190,18.390402
theta090_phi200,9.654919
theta090_phi210,5.775076
theta090_phi220,2.527646
theta090_phi230,2.039553
theta090_phi240,6.896535
theta090_phi250,12.125341
theta090_phi260,17.681159
theta090_phi270,23.181818
theta090_phi280,19.706840
theta090_phi290,13.333333
theta090_phi300,14.486896
theta090_phi310,25.792312
theta090_phi320,36.347173
theta090_phi330,31.554107
theta090_phi340,36.532283
theta090_phi350,32.441092
full_scene,4.604830
