viewpoint,avg_occlusion
theta000_phi000,0.000000
theta000_phi010,0.000000
theta000_phi020,0.000000
theta000_phi030,0.000000
theta000_phi040,0.000000
theta000_phi050,0.000000
theta000_phi060,0.000000
theta000_phi070,0.000000
theta000_phi080,0.000000
theta000_phi090,0.000000
theta000_phi100,0.000000
theta000_phi110,0.000000
theta000_phi120,0.000000
theta000_phi130,0.000000
theta000_phi140,0.000000
theta000_phi150,0.000000
theta000_phi160,0.000000
theta000_phi170,0.000000
theta000_phi180,0.000000
theta000_phi190,0.000000
theta000_phi200,0.000000
theta000_phi210,0.000000
theta000_phi220,0.000000
theta000_phi230,0.000000
theta000_phi240,0.000000
theta000_phi250,0.000000
theta000_phi260,0.000000
theta000_phi270,0.000000
theta000_phi280,0.000000
theta000_phi290,0.000000
theta000_phi300,0.000000
theta000_phi310,0.000000
theta000_phi320,0.000000
theta000_phi330,0.000000
theta000_phi340,0.000000
theta000_phi350,0.000000
theta018_phi000,0.000000
theta018_phi010,0.000000
theta018_phi020,0.000000
theta018_phi030,0.000000
theta018_phi040,0.000000
theta018_phi050,0.000000
theta018_phi060,0.000000
theta018_phi070,0.000000
theta018_phi080,0.000000
theta018_phi090,0.000000
theta018_phi100,0.000000
theta018_phi110,0.000000
theta018_phi120,0.000000
theta018_phi130,0.000000
theta018_phi140,0.000000
theta018_phi150,0.000000
theta018_phi160,0.000000
theta018_phi170,0.000000
theta018_phi180,0.000000
theta018_phi190,0.000000
theta018_phi200,0.000000
theta018_phi210,0.000000
theta018_phi220,0.000000
theta018_phi230,0.000000
theta018_phi240,0.000000
theta018_phi250,0.000000
theta018_phi260,0.000000
theta018_phi270,0.104712
theta018_phi280,0.523560
theta018_phi290,0.717949
theta018_phi300,1.151832
theta018_phi310,1.052632
theta018_phi320,1.139896
theta018_phi330,0.957447
theta018_phi340,0.523560
theta018_phi350,0.207254
theta036_phi000,0.851064
theta036_phi010,0.209424
theta036_phi020,0.679612
theta036_phi030,1.004566
theta036_phi040,1.145374
theta036_phi050,0.858369
theta036_phi060,0.677966
theta036_phi070,0.248963
theta036_phi080,0.083333
theta036_phi090,0.000000
theta036_phi100,0.000000
theta036_phi110,0.037003
theta036_phi120,0.074349
theta036_phi130,0.074143
theta036_phi140,0.055556
theta036_phi150,0.000000
theta036_phi160,0.000000
theta036_phi170,0.000000
theta036_phi180,0.000000
theta036_phi190,0.000000
theta036_phi200,0.000000
theta036_phi210,0.032520
theta036_phi220,0.032626
theta036_phi230,0.066667
theta036_phi240,0.000000
theta036_phi250,0.000000
theta036_phi260,1.308411
theta036_phi270,3.133641
theta036_phi280,4.594595
theta036_phi290,6.244344
theta036_phi300,6.607930
theta036_phi310,6.637555
theta036_phi320,6.000000
theta036_phi330,5.064378
theta036_phi340,4.206009
theta036_phi350,2.750000
theta054_phi000,2.517314
theta054_phi010,3.523810
theta054_phi020,5.291480
theta054_phi030,6.153846
theta054_phi040,6.457399
theta054_phi050,6.339286
theta054_phi060,6.079295
theta054_phi070,4.425799
theta054_phi080,2.589036
theta054_phi090,0.955799
theta054_phi100,0.827176
theta054_phi110,2.159031
theta054_phi120,3.421081
theta054_phi130,3.712051
theta054_phi140,3.105691
theta054_phi150,1.405525
theta054_phi160,0.303644
theta054_phi170,0.081301
theta054_phi180,0.103986
theta054_phi190,0.985915
theta054_phi200,1.851180
theta054_phi210,2.541436
theta054_phi220,2.500000
theta054_phi230,2.248062
theta054_phi240,1.772640
theta054_phi250,1.866585
theta054_phi260,4.685473
theta054_phi270,8.868778
theta054_phi280,11.569507
theta054_phi290,13.160173
theta054_phi300,14.212766
theta054_phi310,14.628099
theta054_phi320,14.214876
theta054_phi330,13.469388
theta054_phi340,9.508197
theta054_phi350,5.301205
theta072_phi000,14.345823
theta072_phi010,15.128205
theta072_phi020,14.514255
theta072_phi030,12.537507
theta072_phi040,11.743119
theta072_phi050,11.586441
theta072_phi060,11.921786
theta072_phi070,10.533630
theta072_phi080,8.894063
theta072_phi090,6.162165
theta072_phi100,7.754579
theta072_phi110,11.577441
theta072_phi120,14.352998
theta072_phi130,14.688952
theta072_phi140,13.564250
theta072_phi150,8.651490
theta072_phi160,7.593413
theta072_phi170,5.461306
theta072_phi180,2.264655
theta072_phi190,4.150110
theta072_phi200,5.429864
theta072_phi210,6.342593
theta072_phi220,5.626478
theta072_phi230,4.600484
theta072_phi240,4.256676
theta072_phi250,7.811863
theta072_phi260,15.650785
theta072_phi270,20.924001
theta072_phi280,19.835961
theta072_phi290,23.434131
theta072_phi300,26.086503
theta072_phi310,32.328218
theta072_phi320,30.843118
theta072_phi330,28.833205
theta072_phi340,23.603366
theta072_phi350,16.174725
theta090_phi000,25.031319
theta090_phi010,26.570048
theta090_phi020,31.175797
theta090_phi030,30.704484
theta090_phi040,27.670881
theta090_phi050,25.045048
theta090_phi060,25.492375
theta090_phi070,25.016859
theta090_phi080,18.345529
theta090_phi090,12.521445
theta090_phi100,14.934047
theta090_phi110,24.272868
theta090_phi120,29.916458
theta090_phi130,32.162162
theta090_phi140,24.939399
theta090_phi150,16.315133
theta090_phi160,19.681215
theta090_phi170,17.931694
theta090_phi180,12.674495
theta090_phi190,18.770117
theta090_phi200,31.242238
theta090_phi210,35.343200
theta090_phi220,31.683599
theta090_phi230,33.582209
theta090_phi240,32.968546
theta090_phi250,32.862097
theta090_phi260,31.601082
theta090_phi270,30.411378
theta090_phi280,29.256219
theta090_phi290,32.915761
theta090_phi300,38.495830
theta090_phi310,57.819790
theta090_phi320,53.335740
theta090_phi330,48.315818
theta090_phi340,42.522637
theta090_phi350,36.305556
full_scene,8.235812
