viewpoint,avg_occlusion
theta000_phi000,1.184388
theta000_phi010,1.189189
theta000_phi020,1.224764
theta000_phi030,1.205146
theta000_phi040,1.243243
theta000_phi050,1.270270
theta000_phi060,1.197847
theta000_phi070,1.239057
theta000_phi080,1.223118
theta000_phi090,1.217039
theta000_phi100,1.213756
theta000_phi110,1.191605
theta000_phi120,1.239892
theta000_phi130,1.197847
theta000_phi140,1.219512
theta000_phi150,1.204330
theta000_phi160,1.201891
theta000_phi170,1.251682
theta000_phi180,1.199461
theta000_phi190,1.161377
theta000_phi200,1.190798
theta000_phi210,1.200270
theta000_phi220,1.226415
theta000_phi230,1.176471
theta000_phi240,1.199461
theta000_phi250,1.173297
theta000_phi260,1.188386
theta000_phi270,1.243243
theta000_phi280,1.160594
theta000_phi290,1.176471
theta000_phi300,1.201080
theta000_phi310,1.164523
theta000_phi320,1.155914
theta000_phi330,1.241565
theta000_phi340,1.224764
theta000_phi350,1.215395
theta018_phi000,0.315284
theta018_phi010,0.544588
theta018_phi020,0.740741
theta018_phi030,1.062542
theta018_phi040,1.364548
theta018_phi050,1.694242
theta018_phi060,2.125413
theta018_phi070,2.455911
theta018_phi080,2.831050
theta018_phi090,3.222872
theta018_phi100,3.551996
theta018_phi110,4.098801
theta018_phi120,4.555071
theta018_phi130,4.653501
theta018_phi140,5.269940
theta018_phi150,5.304648
theta018_phi160,4.885762
theta018_phi170,4.686646
theta018_phi180,4.294389
theta018_phi190,3.993635
theta018_phi200,3.177499
theta018_phi210,2.717057
theta018_phi220,2.245354
theta018_phi230,1.609173
theta018_phi240,1.161154
theta018_phi250,0.848057
theta018_phi260,0.709723
theta018_phi270,0.639205
theta018_phi280,0.555952
theta018_phi290,0.426136
theta018_phi300,0.283086
theta018_phi310,0.156250
theta018_phi320,0.141143
theta018_phi330,0.111654
theta018_phi340,0.153203
theta018_phi350,0.194310
theta036_phi000,0.015326
theta036_phi010,0.089955
theta036_phi020,0.206338
theta036_phi030,0.567273
theta036_phi040,1.091425
theta036_phi050,1.914145
theta036_phi060,2.882759
theta036_phi070,4.035568
theta036_phi080,5.057471
theta036_phi090,6.104418
theta036_phi100,7.435858
theta036_phi110,8.867203
theta036_phi120,10.444639
theta036_phi130,11.891099
theta036_phi140,12.617524
theta036_phi150,13.088468
theta036_phi160,12.549296
theta036_phi170,11.968015
theta036_phi180,11.043383
theta036_phi190,10.228349
theta036_phi200,8.487748
theta036_phi210,6.485713
theta036_phi220,5.195655
theta036_phi230,4.067624
theta036_phi240,2.753374
theta036_phi250,2.340426
theta036_phi260,2.258862
theta036_phi270,2.064410
theta036_phi280,1.804636
theta036_phi290,1.376451
theta036_phi300,0.918033
theta036_phi310,0.524161
theta036_phi320,0.257857
theta036_phi330,0.080257
theta036_phi340,0.000000
theta036_phi350,0.000000
theta054_phi000,0.000000
theta054_phi010,0.000000
theta054_phi020,0.018116
theta054_phi030,0.159574
theta054_phi040,0.481513
theta054_phi050,1.503378
theta054_phi060,3.159636
theta054_phi070,5.346373
theta054_phi080,7.793048
theta054_phi090,10.366826
theta054_phi100,13.294509
theta054_phi110,16.544391
theta054_phi120,19.282184
theta054_phi130,21.522838
theta054_phi140,22.782463
theta054_phi150,23.030384
theta054_phi160,21.730205
theta054_phi170,20.122903
theta054_phi180,18.264171
theta054_phi190,16.726542
theta054_phi200,14.104742
theta054_phi210,11.931073
theta054_phi220,9.860618
theta054_phi230,7.860666
theta054_phi240,6.489034
theta054_phi250,5.927461
theta054_phi260,5.642105
theta054_phi270,5.053079
theta054_phi280,4.050901
theta054_phi290,3.029661
theta054_phi300,1.966173
theta054_phi310,1.144641
theta054_phi320,0.475698
theta054_phi330,0.101112
theta054_phi340,0.019861
theta054_phi350,0.000000
theta072_phi000,0.600601
theta072_phi010,0.306279
theta072_phi020,0.092025
theta072_phi030,0.341085
theta072_phi040,1.225295
theta072_phi050,2.890516
theta072_phi060,4.972235
theta072_phi070,10.938380
theta072_phi080,16.590986
theta072_phi090,23.824342
theta072_phi100,35.583577
theta072_phi110,43.067608
theta072_phi120,37.406577
theta072_phi130,29.529803
theta072_phi140,30.915128
theta072_phi150,30.264317
theta072_phi160,26.985210
theta072_phi170,24.107981
theta072_phi180,22.299401
theta072_phi190,22.170160
theta072_phi200,21.904762
theta072_phi210,18.073907
theta072_phi220,14.929397
theta072_phi230,12.928108
theta072_phi240,12.547700
theta072_phi250,13.357214
theta072_phi260,12.508755
theta072_phi270,11.739628
theta072_phi280,10.200868
theta072_phi290,8.627019
theta072_phi300,6.826123
theta072_phi310,4.840396
theta072_phi320,3.221439
theta072_phi330,2.368904
theta072_phi340,1.747750
theta072_phi350,1.072884
theta090_phi000,6.155044
theta090_phi010,3.479049
theta090_phi020,2.297746
theta090_phi030,3.428571
theta090_phi040,6.730402
theta090_phi050,10.839695
theta090_phi060,14.809160
theta090_phi070,17.974085
theta090_phi080,30.482115
theta090_phi090,45.191315
theta090_phi100,49.155891
theta090_phi110,44.491030
theta090_phi120,39.159634
theta090_phi130,37.870388
theta090_phi140,42.063746
theta090_phi150,35.690336
theta090_phi160,29.573410
theta090_phi170,39.503220
theta090_phi180,31.556644
theta090_phi190,13.458333
theta090_phi200,7.626606
theta090_phi210,5.282769
theta090_phi220,7.679325
theta090_phi230,12.327322
theta090_phi240,16.546053
theta090_phi250,19.823551
theta090_phi260,24.801932
theta090_phi270,27.424853
theta090_phi280,25.093573
theta090_phi290,20.664071
theta090_phi300,16.649223
theta090_phi310,13.584111
theta090_phi320,14.694142
theta090_phi330,29.339360
theta090_phi340,25.685274
theta090_phi350,36.192299
full_scene,8.884374
