theta,phi,obj_id,filename,occlusion_pct,view_avg_pct,view_std_pct
0,0,5,,5.921938,1.184388,2.368775
0,0,6,,0.0,1.184388,2.368775
0,0,7,,0.0,1.184388,2.368775
0,0,8,,0.0,1.184388,2.368775
0,0,9,,0.0,1.184388,2.368775
0,10,5,,5.945946,1.189189,2.378378
0,10,6,,0.0,1.189189,2.378378
0,10,7,,0.0,1.189189,2.378378
0,10,8,,0.0,1.189189,2.378378
0,10,9,,0.0,1.189189,2.378378
0,20,5,,6.123822,1.224764,2.449529
0,20,6,,0.0,1.224764,2.449529
0,20,7,,0.0,1.224764,2.449529
0,20,8,,0.0,1.224764,2.449529
0,20,9,,0.0,1.224764,2.449529
0,30,5,,6.025728,1.205146,2.410291
0,30,6,,0.0,1.205146,2.410291
0,30,7,,0.0,1.205146,2.410291
0,30,8,,0.0,1.205146,2.410291
0,30,9,,0.0,1.205146,2.410291
0,40,5,,6.216216,1.243243,2.486486
0,40,6,,0.0,1.243243,2.486486
0,40,7,,0.0,1.243243,2.486486
0,40,8,,0.0,1.243243,2.486486
0,40,9,,0.0,1.243243,2.486486
0,50,5,,6.351351,1.27027,2.540541
0,50,6,,0.0,1.27027,2.540541
0,50,7,,0.0,1.27027,2.540541
0,50,8,,0.0,1.27027,2.540541
0,50,9,,0.0,1.27027,2.540541
0,60,5,,5.989233,1.197847,2.395693
0,60,6,,0.0,1.197847,2.395693
0,60,7,,0.0,1.197847,2.395693
0,60,8,,0.0,1.197847,2.395693
0,60,9,,0.0,1.197847,2.395693
0,70,5,,6.195286,1.239057,2.478114
0,70,6,,0.0,1.239057,2.478114
0,70,7,,0.0,1.239057,2.478114
0,70,8,,0.0,1.239057,2.478114
0,70,9,,0.0,1.239057,2.478114
0,80,5,,6.115591,1.223118,2.446237
0,80,6,,0.0,1.223118,2.446237
0,80,7,,0.0,1.223118,2.446237
0,80,8,,0.0,1.223118,2.446237
0,80,9,,0.0,1.223118,2.446237
0,90,5,,6.085193,1.217039,2.434077
0,90,6,,0.0,1.217039,2.434077
0,90,7,,0.0,1.217039,2.434077
0,90,8,,0.0,1.217039,2.434077
0,90,9,,0.0,1.217039,2.434077
0,100,5,,6.06878,1.213756,2.427512
0,100,6,,0.0,1.213756,2.427512
0,100,7,,0.0,1.213756,2.427512
0,100,8,,0.0,1.213756,2.427512
0,100,9,,0.0,1.213756,2.427512
0,110,5,,5.958023,1.191605,2.383209
0,110,6,,0.0,1.191605,2.383209
0,110,7,,0.0,1.191605,2.383209
0,110,8,,0.0,1.191605,2.383209
0,110,9,,0.0,1.191605,2.383209
0,120,5,,6.199461,1.239892,2.479784
0,120,6,,0.0,1.239892,2.479784
0,120,7,,0.0,1.239892,2.479784
0,120,8,,0.0,1.239892,2.479784
0,120,9,,0.0,1.239892,2.479784
0,130,5,,5.989233,1.197847,2.395693
0,130,6,,0.0,1.197847,2.395693
0,130,7,,0.0,1.197847,2.395693
0,130,8,,0.0,1.197847,2.395693
0,130,9,,0.0,1.197847,2.395693
0,140,5,,6.097561,1.219512,2.439024
0,140,6,,0.0,1.219512,2.439024
0,140,7,,0.0,1.219512,2.439024
0,140,8,,0.0,1.219512,2.439024
0,140,9,,0.0,1.219512,2.439024
0,150,5,,6.021651,1.20433,2.40866
0,150,6,,0.0,1.20433,2.40866
0,150,7,,0.0,1.20433,2.40866
0,150,8,,0.0,1.20433,2.40866
0,150,9,,0.0,1.20433,2.40866
