viewpoint,avg_occlusion
theta000_phi000,4.582744
theta000_phi010,4.643213
theta000_phi020,4.667610
theta000_phi030,4.572565
theta000_phi040,4.587286
theta000_phi050,4.600966
theta000_phi060,4.639141
theta000_phi070,4.620181
theta000_phi080,4.611033
theta000_phi090,4.572565
theta000_phi100,4.587804
theta000_phi110,4.587286
theta000_phi120,4.644049
theta000_phi130,4.639321
theta000_phi140,4.625177
theta000_phi150,4.555070
theta000_phi160,4.629761
theta000_phi170,4.625177
theta000_phi180,4.591329
theta000_phi190,4.535820
theta000_phi200,4.596397
theta000_phi210,4.629761
theta000_phi220,4.606472
theta000_phi230,4.592341
theta000_phi240,4.639321
theta000_phi250,4.620181
theta000_phi260,4.529963
theta000_phi270,4.676876
theta000_phi280,4.606009
theta000_phi290,4.620181
theta000_phi300,4.562304
theta000_phi310,4.600966
theta000_phi320,4.615602
theta000_phi330,4.586765
theta000_phi340,4.652817
theta000_phi350,4.653142
theta018_phi000,5.551119
theta018_phi010,6.065812
theta018_phi020,6.467969
theta018_phi030,6.883484
theta018_phi040,7.163338
theta018_phi050,7.446809
theta018_phi060,7.620895
theta018_phi070,7.579327
theta018_phi080,7.301895
theta018_phi090,6.941552
theta018_phi100,6.443120
theta018_phi110,6.015038
theta018_phi120,5.477776
theta018_phi130,4.901431
theta018_phi140,4.407008
theta018_phi150,4.002695
theta018_phi160,3.618688
theta018_phi170,3.326996
theta018_phi180,3.079636
theta018_phi190,2.927399
theta018_phi200,2.789625
theta018_phi210,2.714162
theta018_phi220,2.661954
theta018_phi230,2.811313
theta018_phi240,2.956818
theta018_phi250,3.181523
theta018_phi260,3.311602
theta018_phi270,3.534717
theta018_phi280,3.690808
theta018_phi290,3.759538
theta018_phi300,3.962154
theta018_phi310,4.204178
theta018_phi320,4.516882
theta018_phi330,4.588034
theta018_phi340,4.842546
theta018_phi350,5.201796
theta036_phi000,8.162565
theta036_phi010,9.374587
theta036_phi020,10.462024
theta036_phi030,11.333801
theta036_phi040,12.032037
theta036_phi050,12.556892
theta036_phi060,12.529614
theta036_phi070,11.830159
theta036_phi080,10.463742
theta036_phi090,9.192246
theta036_phi100,7.941889
theta036_phi110,6.781889
theta036_phi120,5.607318
theta036_phi130,4.692072
theta036_phi140,4.019708
theta036_phi150,3.278081
theta036_phi160,2.758615
theta036_phi170,2.306315
theta036_phi180,1.931408
theta036_phi190,1.784857
theta036_phi200,1.879479
theta036_phi210,2.694924
theta036_phi220,3.641806
theta036_phi230,4.799632
theta036_phi240,5.783222
theta036_phi250,6.222979
theta036_phi260,6.283998
theta036_phi270,6.210444
theta036_phi280,6.272730
theta036_phi290,6.342668
theta036_phi300,6.499335
theta036_phi310,6.536311
theta036_phi320,6.647509
theta036_phi330,6.575468
theta036_phi340,6.620094
theta036_phi350,7.093115
theta054_phi000,11.623417
theta054_phi010,12.711160
theta054_phi020,15.433711
theta054_phi030,16.668048
theta054_phi040,18.123129
theta054_phi050,20.950799
theta054_phi060,22.155775
theta054_phi070,20.475719
theta054_phi080,17.035051
theta054_phi090,12.558320
theta054_phi100,8.761209
theta054_phi110,7.126777
theta054_phi120,5.965767
theta054_phi130,4.693258
theta054_phi140,3.696719
theta054_phi150,3.045389
theta054_phi160,2.644844
theta054_phi170,2.102008
theta054_phi180,1.525195
theta054_phi190,1.413847
theta054_phi200,1.890072
theta054_phi210,3.920724
theta054_phi220,7.054915
theta054_phi230,9.989710
theta054_phi240,12.315686
theta054_phi250,13.856744
theta054_phi260,13.910487
theta054_phi270,13.425146
theta054_phi280,13.477242
theta054_phi290,14.303132
theta054_phi300,15.314074
theta054_phi310,16.154413
theta054_phi320,15.770281
theta054_phi330,14.705339
theta054_phi340,13.250330
theta054_phi350,11.942325
theta072_phi000,23.769554
theta072_phi010,30.053784
theta072_phi020,38.535565
theta072_phi030,37.294848
theta072_phi040,32.731978
theta072_phi050,35.516740
theta072_phi060,36.288959
theta072_phi070,34.178819
theta072_phi080,27.544002
