viewpoint,avg_occlusion
theta072_phi090,20.002968
theta072_phi100,13.205985
theta072_phi110,8.701863
theta072_phi120,7.096520
theta072_phi130,6.066031
theta072_phi140,6.395075
theta072_phi150,7.779788
theta072_phi160,8.991507
theta072_phi170,9.271977
theta072_phi180,9.205137
theta072_phi190,10.238858
theta072_phi200,10.682250
theta072_phi210,12.151212
theta072_phi220,17.488077
theta072_phi230,23.096857
theta072_phi240,31.687103
theta072_phi250,36.664829
theta072_phi260,35.624681
theta072_phi270,31.699233
theta072_phi280,31.556139
theta072_phi290,26.466833
theta072_phi300,22.175913
theta072_phi310,28.729516
theta072_phi320,34.090761
theta072_phi330,35.841498
theta072_phi340,33.399693
theta072_phi350,25.272427
theta090_phi000,32.800522
theta090_phi010,34.720687
theta090_phi020,40.658688
theta090_phi030,47.648109
theta090_phi040,45.486841
theta090_phi050,49.266769
theta090_phi060,49.905056
theta090_phi070,48.153534
theta090_phi080,47.330556
theta090_phi090,38.655465
theta090_phi100,30.636597
theta090_phi110,25.169946
theta090_phi120,22.679425
theta090_phi130,18.632396
theta090_phi140,18.669427
theta090_phi150,18.820753
theta090_phi160,22.465523
theta090_phi170,25.886229
theta090_phi180,26.826090
theta090_phi190,30.213048
theta090_phi200,31.158388
theta090_phi210,36.458105
theta090_phi220,43.419726
theta090_phi230,49.828106
theta090_phi240,56.979008
theta090_phi250,56.143432
theta090_phi260,49.612485
theta090_phi270,36.310377
theta090_phi280,42.058899
theta090_phi290,36.170805
theta090_phi300,32.521471
theta090_phi310,32.646316
theta090_phi320,33.266840
theta090_phi330,34.115846
theta090_phi340,36.169942
theta090_phi350,33.689947
full_scene,14.498442
