theta,phi,obj_id,filename,occlusion_pct,view_avg_pct,view_std_pct
0,0,5,,0.0,4.582744,11.225384
0,0,6,,32.079208,4.582744,11.225384
0,0,7,,0.0,4.582744,11.225384
0,0,8,,0.0,4.582744,11.225384
0,0,9,,0.0,4.582744,11.225384
0,0,10,,0.0,4.582744,11.225384
0,0,11,,0.0,4.582744,11.225384
0,10,5,,0.0,4.643213,11.373503
0,10,6,,32.502493,4.643213,11.373503
0,10,7,,0.0,4.643213,11.373503
0,10,8,,0.0,4.643213,11.373503
0,10,9,,0.0,4.643213,11.373503
0,10,10,,0.0,4.643213,11.373503
0,10,11,,0.0,4.643213,11.373503
0,20,5,,0.0,4.66761,11.433262
0,20,6,,32.673267,4.66761,11.433262
0,20,7,,0.0,4.66761,11.433262
0,20,8,,0.0,4.66761,11.433262
0,20,9,,0.0,4.66761,11.433262
0,20,10,,0.0,4.66761,11.433262
0,20,11,,0.0,4.66761,11.433262
0,30,5,,0.0,4.572565,11.20045
0,30,6,,32.007952,4.572565,11.20045
0,30,7,,0.0,4.572565,11.20045
0,30,8,,0.0,4.572565,11.20045
0,30,9,,0.0,4.572565,11.20045
0,30,10,,0.0,4.572565,11.20045
0,30,11,,0.0,4.572565,11.20045
0,40,5,,0.0,4.587286,11.23651
0,40,6,,32.111001,4.587286,11.23651
0,40,7,,0.0,4.587286,11.23651
0,40,8,,0.0,4.587286,11.23651
0,40,9,,0.0,4.587286,11.23651
0,40,10,,0.0,4.587286,11.23651
0,40,11,,0.0,4.587286,11.23651
0,50,5,,0.0,4.600966,11.270018
0,50,6,,32.206759,4.600966,11.270018
0,50,7,,0.0,4.600966,11.270018
0,50,8,,0.0,4.600966,11.270018
0,50,9,,0.0,4.600966,11.270018
0,50,10,,0.0,4.600966,11.270018
0,50,11,,0.0,4.600966,11.270018
0,60,5,,0.0,4.639141,11.323672
0,60,6,,32.376238,4.639141,11.323672
0,60,7,,0.0,4.639141,11.323672
0,60,8,,0.0,4.639141,11.323672
0,60,9,,0.0,4.639141,11.323672
0,60,10,,0.0,4.639141,11.323672
0,60,11,,0.097752,4.639141,11.323672
0,70,5,,0.0,4.620181,11.317087
0,70,6,,32.34127,4.620181,11.317087
0,70,7,,0.0,4.620181,11.317087
0,70,8,,0.0,4.620181,11.317087
0,70,9,,0.0,4.620181,11.317087
0,70,10,,0.0,4.620181,11.317087
0,70,11,,0.0,4.620181,11.317087
0,80,5,,0.0,4.611033,11.294677
0,80,6,,32.277228,4.611033,11.294677
0,80,7,,0.0,4.611033,11.294677
0,80,8,,0.0,4.611033,11.294677
0,80,9,,0.0,4.611033,11.294677
0,80,10,,0.0,4.611033,11.294677
0,80,11,,0.0,4.611033,11.294677
0,90,5,,0.0,4.572565,11.20045
0,90,6,,32.007952,4.572565,11.20045
0,90,7,,0.0,4.572565,11.20045
0,90,8,,0.0,4.572565,11.20045
0,90,9,,0.0,4.572565,11.20045
0,90,10,,0.0,4.572565,11.20045
0,90,11,,0.0,4.572565,11.20045
0,100,5,,0.0,4.587804,11.237778
0,100,6,,32.114625,4.587804,11.237778
0,100,7,,0.0,4.587804,11.237778
0,100,8,,0.0,4.587804,11.237778
0,100,9,,0.0,4.587804,11.237778
0,100,10,,0.0,4.587804,11.237778
0,100,11,,0.0,4.587804,11.237778
0,110,5,,0.0,4.587286,11.23651
0,110,6,,32.111001,4.587286,11.23651
0,110,7,,0.0,4.587286,11.23651
0,110,8,,0.0,4.587286,11.23651
0,110,9,,0.0,4.587286,11.23651
0,110,10,,0.0,4.587286,11.23651
0,110,11,,0.0,4.587286,11.23651
0,120,5,,0.0,4.644049,11.335887
0,120,6,,32.411067,4.644049,11.335887
0,120,7,,0.0,4.644049,11.335887
0,120,8,,0.0,4.644049,11.335887
0,120,9,,0.0,4.644049,11.335887
0,120,10,,0.0,4.644049,11.335887
0,120,11,,0.097276,4.644049,11.335887
0,130,5,,0.0,4.639321,11.363969
0,130,6,,32.475248,4.639321,11.363969
0,130,7,,0.0,4.639321,11.363969
0,130,8,,0.0,4.639321,11.363969
0,130,9,,0.0,4.639321,11.363969
0,130,10,,0.0,4.639321,11.363969
0,130,11,,0.0,4.639321,11.363969
0,140,5,,0.0,4.625177,11.329323
0,140,6,,32.376238,4.625177,11.329323
0,140,7,,0.0,4.625177,11.329323
0,140,8,,0.0,4.625177,11.329323
0,140,9,,0.0,4.625177,11.329323
0,140,10,,0.0,4.625177,11.329323
0,140,11,,0.0,4.625177,11.329323
0,150,5,,0.0,4.55507,11.157597
0,150,6,,31.885489,4.55507,11.157597
0,150,7,,0.0,4.55507,11.157597
0,150,8,,0.0,4.55507,11.157597
0,150,9,,0.0,4.55507,11.157597
0,150,10,,0.0,4.55507,11.157597
0,150,11,,0.0,4.55507,11.157597
0,160,5,,0.0,4.629761,11.340551
0,160,6,,32.408325,4.629761,11.340551
0,160,7,,0.0,4.629761,11.340551
0,160,8,,0.0,4.629761,11.340551
0,160,9,,0.0,4.629761,11.340551
0,160,10,,0.0,4.629761,11.340551
0,160,11,,0.0,4.629761,11.340551
0,170,5,,0.0,4.625177,11.329323
0,170,6,,32.376238,4.625177,11.329323
0,170,7,,0.0,4.625177,11.329323
0,170,8,,0.0,4.625177,11.329323
0,170,9,,0.0,4.625177,11.329323
0,170,10,,0.0,4.625177,11.329323
0,170,11,,0.0,4.625177,11.329323
0,180,5,,0.0,4.591329,11.246413
0,180,6,,32.139303,4.591329,11.246413
0,180,7,,0.0,4.591329,11.246413
0,180,8,,0.0,4.591329,11.246413
0,180,9,,0.0,4.591329,11.246413
0,180,10,,0.0,4.591329,11.246413
0,180,11,,0.0,4.591329,11.246413
0,190,5,,0.0,4.53582,11.110445
0,190,6,,31.750742,4.53582,11.110445
0,190,7,,0.0,4.53582,11.110445
0,190,8,,0.0,4.53582,11.110445
0,190,9,,0.0,4.53582,11.110445
0,190,10,,0.0,4.53582,11.110445
0,190,11,,0.0,4.53582,11.110445
0,200,5,,0.0,4.596397,11.258826
0,200,6,,32.174777,4.596397,11.258826
0,200,7,,0.0,4.596397,11.258826
0,200,8,,0.0,4.596397,11.258826
0,200,9,,0.0,4.596397,11.258826
0,200,10,,0.0,4.596397,11.258826
0,200,11,,0.0,4.596397,11.258826
0,210,5,,0.0,4.629761,11.340551
0,210,6,,32.408325,4.629761,11.340551
0,210,7,,0.0,4.629761,11.340551
0,210,8,,0.0,4.629761,11.340551
0,210,9,,0.0,4.629761,11.340551
0,210,10,,0.0,4.629761,11.340551
0,210,11,,0.0,4.629761,11.340551
0,220,5,,0.0,4.606472,11.283505
0,220,6,,32.245302,4.606472,11.283505
0,220,7,,0.0,4.606472,11.283505
0,220,8,,0.0,4.606472,11.283505
0,220,9,,0.0,4.606472,11.283505
0,220,10,,0.0,4.606472,11.283505
0,220,11,,0.0,4.606472,11.283505
0,230,5,,0.0,4.592341,11.248893
0,230,6,,32.14639,4.592341,11.248893
0,230,7,,0.0,4.592341,11.248893
0,230,8,,0.0,4.592341,11.248893
0,230,9,,0.0,4.592341,11.248893
0,230,10,,0.0,4.592341,11.248893
0,230,11,,0.0,4.592341,11.248893
0,240,5,,0.0,4.639321,11.363969
0,240,6,,32.475248,4.639321,11.363969
0,240,7,,0.0,4.639321,11.363969
0,240,8,,0.0,4.639321,11.363969
0,240,9,,0.0,4.639321,11.363969
0,240,10,,0.0,4.639321,11.363969
0,240,11,,0.0,4.639321,11.363969
0,250,5,,0.0,4.620181,11.317087
0,250,6,,32.34127,4.620181,11.317087
0,250,7,,0.0,4.620181,11.317087
0,250,8,,0.0,4.620181,11.317087
0,250,9,,0.0,4.620181,11.317087
0,250,10,,0.0,4.620181,11.317087
0,250,11,,0.0,4.620181,11.317087
0,260,5,,0.0,4.529963,11.096098
0,260,6,,31.709742,4.529963,11.096098
0,260,7,,0.0,4.529963,11.096098
0,260,8,,0.0,4.529963,11.096098
0,260,9,,0.0,4.529963,11.096098
0,260,10,,0.0,4.529963,11.096098
0,260,11,,0.0,4.529963,11.096098
0,270,5,,0.0,4.676876,11.416335
0,270,6,,32.64095,4.676876,11.416335
0,270,7,,0.0,4.676876,11.416335
0,270,8,,0.0,4.676876,11.416335
0,270,9,,0.0,4.676876,11.416335
0,270,10,,0.0,4.676876,11.416335
0,270,11,,0.097182,4.676876,11.416335
0,280,5,,0.0,4.606009,11.282372
0,280,6,,32.242063,4.606009,11.282372
0,280,7,,0.0,4.606009,11.282372
0,280,8,,0.0,4.606009,11.282372
0,280,9,,0.0,4.606009,11.282372
0,280,10,,0.0,4.606009,11.282372
0,280,11,,0.0,4.606009,11.282372
0,290,5,,0.0,4.620181,11.317087
0,290,6,,32.34127,4.620181,11.317087
0,290,7,,0.0,4.620181,11.317087
0,290,8,,0.0,4.620181,11.317087
0,290,9,,0.0,4.620181,11.317087
0,290,10,,0.0,4.620181,11.317087
0,290,11,,0.0,4.620181,11.317087
0,300,5,,0.0,4.562304,11.175317
0,300,6,,31.936128,4.562304,11.175317
0,300,7,,0.0,4.562304,11.175317
0,300,8,,0.0,4.562304,11.175317
0,300,9,,0.0,4.562304,11.175317
0,300,10,,0.0,4.562304,11.175317
0,300,11,,0.0,4.562304,11.175317
0,310,5,,0.0,4.600966,11.270018
0,310,6,,32.206759,4.600966,11.270018
0,310,7,,0.0,4.600966,11.270018
0,310,8,,0.0,4.600966,11.270018
0,310,9,,0.0,4.600966,11.270018
0,310,10,,0.0,4.600966,11.270018
0,310,11,,0.0,4.600966,11.270018
0,320,5,,0.0,4.615602,11.305871
0,320,6,,32.309217,4.615602,11.305871
0,320,7,,0.0,4.615602,11.305871
0,320,8,,0.0,4.615602,11.305871
0,320,9,,0.0,4.615602,11.305871
0,320,10,,0.0,4.615602,11.305871
0,320,11,,0.0,4.615602,11.305871
0,330,5,,0.0,4.586765,11.235234
0,330,6,,32.107356,4.586765,11.235234
0,330,7,,0.0,4.586765,11.235234
0,330,8,,0.0,4.586765,11.235234
0,330,9,,0.0,4.586765,11.235234
0,330,10,,0.0,4.586765,11.235234
0,330,11,,0.0,4.586765,11.235234
0,340,5,,0.0,4.652817,11.397028
0,340,6,,32.569721,4.652817,11.397028
0,340,7,,0.0,4.652817,11.397028
0,340,8,,0.0,4.652817,11.397028
0,340,9,,0.0,4.652817,11.397028
0,340,10,,0.0,4.652817,11.397028
0,340,11,,0.0,4.652817,11.397028
0,350,5,,0.0,4.653142,11.397824
0,350,6,,32.571996,4.653142,11.397824
0,350,7,,0.0,4.653142,11.397824
0,350,8,,0.0,4.653142,11.397824
0,350,9,,0.0,4.653142,11.397824
0,350,10,,0.0,4.653142,11.397824
0,350,11,,0.0,4.653142,11.397824
18,0,5,,0.0,5.551119,12.811788
18,0,6,,36.889332,5.551119,12.811788
18,0,7,,0.0,5.551119,12.811788
18,0,8,,0.0,5.551119,12.811788
18,0,9,,0.0,5.551119,12.811788
18,0,10,,0.0,5.551119,12.811788
18,0,11,,1.968504,5.551119,12.811788
18,10,5,,0.0,6.065812,14.313016
18,10,6,,41.106719,6.065812,14.313016
18,10,7,,0.0,6.065812,14.313016
18,10,8,,0.0,6.065812,14.313016
18,10,9,,0.0,6.065812,14.313016
18,10,10,,0.0,6.065812,14.313016
18,10,11,,1.353965,6.065812,14.313016
18,20,5,,0.0,6.467969,15.572244
18,20,6,,44.607843,6.467969,15.572244
18,20,7,,0.0,6.467969,15.572244
18,20,8,,0.0,6.467969,15.572244
18,20,9,,0.0,6.467969,15.572244
18,20,10,,0.0,6.467969,15.572244
18,20,11,,0.667939,6.467969,15.572244
18,30,5,,0.0,6.883484,16.706603
18,30,6,,47.804878,6.883484,16.706603
18,30,7,,0.0,6.883484,16.706603
18,30,8,,0.0,6.883484,16.706603
18,30,9,,0.0,6.883484,16.706603
18,30,10,,0.0,6.883484,16.706603
18,30,11,,0.379507,6.883484,16.706603
18,40,5,,0.0,7.163338,17.507785
18,40,6,,50.048403,7.163338,17.507785
18,40,7,,0.0,7.163338,17.507785
18,40,8,,0.0,7.163338,17.507785
18,40,9,,0.0,7.163338,17.507785
18,40,10,,0.0,7.163338,17.507785
18,40,11,,0.094967,7.163338,17.507785
18,50,5,,0.0,7.446809,18.240881
18,50,6,,52.12766,7.446809,18.240881
18,50,7,,0.0,7.446809,18.240881
18,50,8,,0.0,7.446809,18.240881
18,50,9,,0.0,7.446809,18.240881
18,50,10,,0.0,7.446809,18.240881
18,50,11,,0.0,7.446809,18.240881
18,60,5,,0.0,7.620895,18.667304
18,60,6,,53.346266,7.620895,18.667304
18,60,7,,0.0,7.620895,18.667304
18,60,8,,0.0,7.620895,18.667304
18,60,9,,0.0,7.620895,18.667304
18,60,10,,0.0,7.620895,18.667304
18,60,11,,0.0,7.620895,18.667304
18,70,5,,0.0,7.579327,18.565483
18,70,6,,53.055286,7.579327,18.565483
18,70,7,,0.0,7.579327,18.565483
18,70,8,,0.0,7.579327,18.565483
18,70,9,,0.0,7.579327,18.565483
18,70,10,,0.0,7.579327,18.565483
18,70,11,,0.0,7.579327,18.565483
18,80,5,,0.0,7.301895,17.885916
18,80,6,,51.113262,7.301895,17.885916
18,80,7,,0.0,7.301895,17.885916
18,80,8,,0.0,7.301895,17.885916
18,80,9,,0.0,7.301895,17.885916
18,80,10,,0.0,7.301895,17.885916
18,80,11,,0.0,7.301895,17.885916
18,90,5,,0.0,6.941552,17.003261
18,90,6,,48.590865,6.941552,17.003261
18,90,7,,0.0,6.941552,17.003261
18,90,8,,0.0,6.941552,17.003261
18,90,9,,0.0,6.941552,17.003261
18,90,10,,0.0,6.941552,17.003261
18,90,11,,0.0,6.941552,17.003261
18,100,5,,0.0,6.44312,15.782357
18,100,6,,45.101843,6.44312,15.782357
18,100,7,,0.0,6.44312,15.782357
18,100,8,,0.0,6.44312,15.782357
18,100,9,,0.0,6.44312,15.782357
18,100,10,,0.0,6.44312,15.782357
18,100,11,,0.0,6.44312,15.782357
18,110,5,,0.0,6.015038,14.733773
18,110,6,,42.105263,6.015038,14.733773
18,110,7,,0.0,6.015038,14.733773
18,110,8,,0.0,6.015038,14.733773
18,110,9,,0.0,6.015038,14.733773
18,110,10,,0.0,6.015038,14.733773
18,110,11,,0.0,6.015038,14.733773
18,120,5,,0.0,5.477776,13.417757
18,120,6,,38.344434,5.477776,13.417757
18,120,7,,0.0,5.477776,13.417757
18,120,8,,0.0,5.477776,13.417757
18,120,9,,0.0,5.477776,13.417757
18,120,10,,0.0,5.477776,13.417757
18,120,11,,0.0,5.477776,13.417757
18,130,5,,0.0,4.901431,12.006006
18,130,6,,34.310019,4.901431,12.006006
18,130,7,,0.0,4.901431,12.006006
18,130,8,,0.0,4.901431,12.006006
18,130,9,,0.0,4.901431,12.006006
18,130,10,,0.0,4.901431,12.006006
18,130,11,,0.0,4.901431,12.006006
18,140,5,,0.0,4.407008,10.794921
18,140,6,,30.849057,4.407008,10.794921
18,140,7,,0.0,4.407008,10.794921
18,140,8,,0.0,4.407008,10.794921
18,140,9,,0.0,4.407008,10.794921
18,140,10,,0.0,4.407008,10.794921
18,140,11,,0.0,4.407008,10.794921
18,150,5,,0.0,4.002695,9.804561
18,150,6,,28.018868,4.002695,9.804561
18,150,7,,0.0,4.002695,9.804561
18,150,8,,0.0,4.002695,9.804561
18,150,9,,0.0,4.002695,9.804561
18,150,10,,0.0,4.002695,9.804561
18,150,11,,0.0,4.002695,9.804561
18,160,5,,0.0,3.618688,8.863938
18,160,6,,25.330813,3.618688,8.863938
18,160,7,,0.0,3.618688,8.863938
18,160,8,,0.0,3.618688,8.863938
18,160,9,,0.0,3.618688,8.863938
18,160,10,,0.0,3.618688,8.863938
18,160,11,,0.0,3.618688,8.863938
18,170,5,,0.0,3.326996,8.149443
18,170,6,,23.288973,3.326996,8.149443
18,170,7,,0.0,3.326996,8.149443
18,170,8,,0.0,3.326996,8.149443
18,170,9,,0.0,3.326996,8.149443
18,170,10,,0.0,3.326996,8.149443
18,170,11,,0.0,3.326996,8.149443
18,180,5,,0.0,3.079636,7.543538
18,180,6,,21.557455,3.079636,7.543538
18,180,7,,0.0,3.079636,7.543538
18,180,8,,0.0,3.079636,7.543538
18,180,9,,0.0,3.079636,7.543538
18,180,10,,0.0,3.079636,7.543538
18,180,11,,0.0,3.079636,7.543538
18,190,5,,0.0,2.927399,7.102542
18,190,6,,20.324427,2.927399,7.102542
18,190,7,,0.167364,2.927399,7.102542
18,190,8,,0.0,2.927399,7.102542
18,190,9,,0.0,2.927399,7.102542
18,190,10,,0.0,2.927399,7.102542
18,190,11,,0.0,2.927399,7.102542
18,200,5,,0.0,2.789625,6.764216
18,200,6,,19.357885,2.789625,6.764216
18,200,7,,0.169492,2.789625,6.764216
18,200,8,,0.0,2.789625,6.764216
18,200,9,,0.0,2.789625,6.764216
18,200,10,,0.0,2.789625,6.764216
18,200,11,,0.0,2.789625,6.764216
18,210,5,,0.0,2.714162,6.578253
18,210,6,,18.826868,2.714162,6.578253
18,210,7,,0.172265,2.714162,6.578253
18,210,8,,0.0,2.714162,6.578253
18,210,9,,0.0,2.714162,6.578253
18,210,10,,0.0,2.714162,6.578253
18,210,11,,0.0,2.714162,6.578253
